	gene_human	entrez_id_human	gene_mouse	MGI	MP_HMD	MP_PhenoGeno	HP_genes_to_phenotype	MP_system_level	HP_system_level	MP_from_HP_system_level
2898	CDKN2AIP	55602	Cdkn2aip	MGI:1918175		MP:0011110,MP:0001488,MP:0005565,MP:0002968		['MP:0005386', 'MP:0005376']	['']	[['']]
2899	CDKN2AIPNL	91368	Cdkn2aipnl	MGI:1261797				['']	['']	[['']]
2900	CDKN2B	1030	Cdkn2b	MGI:104737		MP:0002346,MP:0000693,MP:0000688,MP:0008102,MP:0005621,MP:0008210,MP:0008522,MP:0002083,MP:0000689,MP:0002020,MP:0000240,MP:0002362,MP:0002619,MP:0011703,MP:0002032,MP:0009308	HP:0500167,HP:0003764,HP:0001293,HP:0100829,HP:0001289,HP:0001254,HP:0002588,HP:0001259,HP:0007449,HP:0031058,HP:0002659,HP:0002666,HP:0012197,HP:0000169,HP:0000141,HP:0002797,HP:0001480,HP:0002020,HP:0002018,HP:0002019,HP:0002027,HP:0040306,HP:0002014,HP:0002013,HP:0100522,HP:0002071,HP:0002044,HP:0002039,HP:0011762,HP:0011759,HP:0011760,HP:0011761,HP:0100570,HP:0002150,HP:0008200,HP:0008208,HP:0008291,HP:0002249,HP:0002248,HP:0003528,HP:0100763,HP:0032044,HP:0010615,HP:0001012,HP:0002315,HP:0001944,HP:0005605,HP:0003072,HP:0000802,HP:0004398,HP:0004349,HP:0100013,HP:0011407,HP:0000736,HP:0000716,HP:0000787,HP:0003118,HP:0003144,HP:0000853,HP:0000849,HP:0000845,HP:0000822,HP:0040085,HP:0000958,HP:0001595,HP:0012232,HP:0001579,HP:0002894,HP:0002894,HP:0002893,HP:0002890,HP:0002888,HP:0002861,HP:0002858,HP:0011151,HP:0000488,HP:0006753,HP:0006744,HP:0030405,HP:0030404,HP:0006723,HP:0030445,HP:0006780,HP:0006767,HP:0001824	['MP:0002006', 'MP:0005387', 'MP:0005384', 'MP:0005397', 'MP:0005378']	['HP:0000234', 'HP:0002014', 'HP:0000079', 'HP:0003117', 'HP:0001507', 'HP:0001732', 'HP:0002715', 'HP:0002039', 'HP:0100568', 'HP:0000078', 'HP:0002017', 'HP:0012531', 'HP:0000769', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0002019', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0100013', 'HP:0000708', 'HP:0000478', 'HP:0009124', 'HP:0000818', 'HP:0001574', 'HP:0031058', 'HP:0001939']	[['MP:0005382'], ['MP:0005381'], ['MP:0005367'], ['MP:0005376'], ['MP:0005378'], ['MP:0005379'], ['MP:0005387'], ['MP:0005386'], ['MP:0002006'], ['MP:0005389'], ['MP:0005381'], ['MP:0005386'], ['MP:0010771'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005381'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0002006'], ['MP:0005386'], ['MP:0005391'], ['MP:0005375'], ['MP:0005379'], ['MP:0010771'], ['MP:0005386'], ['MP:0005376']]
2901	CDKN2C	1031	Cdkn2c	MGI:105388		MP:0005014,MP:0009937,MP:0000688,MP:0008130,MP:0006009,MP:0002050,MP:0000627,MP:0014237,MP:0002444,MP:0001152,MP:0001147,MP:0001260,MP:0008478,MP:0001263,MP:0000642,MP:0003667,MP:0000889,MP:0002023,MP:0010299,MP:0009504,MP:0000630,MP:0002780,MP:0008014,MP:0005015,MP:0002364,MP:0000636,MP:0003675,MP:0001393,MP:0000691,MP:0001429,MP:0000522,MP:0001648,MP:0001264,MP:0002027,MP:0000635,MP:0006262,MP:0002048,MP:0002348,MP:0000693,MP:0002024,MP:0001148,MP:0000708,MP:0000523,MP:0010829,MP:0013602,MP:0002041,MP:0000702,MP:0010384,MP:0000321	HP:0500167,HP:0001293,HP:0100829,HP:0001289,HP:0001254,HP:0002588,HP:0001259,HP:0007449,HP:0031058,HP:0002659,HP:0002666,HP:0012197,HP:0000169,HP:0000141,HP:0002797,HP:0002020,HP:0002018,HP:0002019,HP:0002027,HP:0040306,HP:0002014,HP:0002013,HP:0100522,HP:0002044,HP:0002039,HP:0011762,HP:0011759,HP:0011760,HP:0011761,HP:0100570,HP:0002150,HP:0008200,HP:0008208,HP:0008291,HP:0002249,HP:0002248,HP:0003528,HP:0032044,HP:0010615,HP:0001012,HP:0002315,HP:0001944,HP:0005605,HP:0003072,HP:0000802,HP:0004398,HP:0004349,HP:0011407,HP:0000736,HP:0000716,HP:0000787,HP:0003118,HP:0003144,HP:0000853,HP:0000849,HP:0000845,HP:0000822,HP:0040085,HP:0012232,HP:0001579,HP:0002894,HP:0002893,HP:0002890,HP:0002888,HP:0002858,HP:0011151,HP:0006744,HP:0030405,HP:0030404,HP:0006723,HP:0030445,HP:0006780,HP:0006767,HP:0001824	['MP:0005388', 'MP:0005387', 'MP:0010771', 'MP:0005386', 'MP:0005389', 'MP:0005378', 'MP:0003631', 'MP:0005376', 'MP:0002006', 'MP:0005384', 'MP:0005379', 'MP:0005397', 'MP:0005367']	['HP:0000234', 'HP:0002014', 'HP:0000079', 'HP:0003117', 'HP:0001507', 'HP:0001732', 'HP:0002715', 'HP:0002039', 'HP:0100568', 'HP:0000078', 'HP:0002017', 'HP:0012531', 'HP:0000769', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0002019', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0009124', 'HP:0000818', 'HP:0001574', 'HP:0031058', 'HP:0001939']	[['MP:0005382'], ['MP:0005381'], ['MP:0005367'], ['MP:0005376'], ['MP:0005378'], ['MP:0005379'], ['MP:0005387'], ['MP:0005386'], ['MP:0002006'], ['MP:0005389'], ['MP:0005381'], ['MP:0005386'], ['MP:0010771'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005381'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005375'], ['MP:0005379'], ['MP:0010771'], ['MP:0005386'], ['MP:0005376']]
2902	CDKN2D	1032	Cdkn2d	MGI:105387		MP:0014052,MP:0001156,MP:0004749,MP:0004396,MP:0004432,MP:0003205,MP:0004362,MP:0004398,MP:0011967,MP:0001750,MP:0004404,MP:0004402,MP:0001648,MP:0004737,MP:0004740,MP:0005169,MP:0020550,MP:0002687		['MP:0003631', 'MP:0005377', 'MP:0005379', 'MP:0005376', 'MP:0005384', 'MP:0005389']	['']	[['']]
2903	CDKN3	1033	Cdkn3	MGI:1919641		MP:0002968,MP:0010053		['MP:0005386', 'MP:0005376']	['']	[['']]
2904	CDNF	441549	Cdnf	MGI:3606576		MP:0030941,MP:0002792,MP:0012299,MP:0010800,MP:0011098,MP:0001046,MP:0020876,MP:0001325,MP:0030585,MP:0012134,MP:0002699,MP:0002229,MP:0001905,MP:0003984,MP:0004811		['MP:0005386', 'MP:0005391', 'MP:0005378', 'MP:0005380', 'MP:0003631', 'MP:0005376', 'MP:0005384', 'MP:0005385']	['']	[['']]
2905	CDO1	1036	Cdo1	MGI:105925		MP:0001402,MP:0005560,MP:0011939,MP:0009674,MP:0005287,MP:0000063,MP:0001348,MP:0001290,MP:0011641,MP:0000160,MP:0004701,MP:0000484,MP:0001925,MP:0001258,MP:0011086,MP:0002161,MP:0002233,MP:0000550,MP:0030625,MP:0030636,MP:0000120,MP:0004263,MP:0000102,MP:0030622,MP:0000438,MP:0002114,MP:0001340,MP:0002177,MP:0008489,MP:0002066,MP:0010899,MP:0002110		['MP:0005388', 'MP:0005377', 'MP:0005386', 'MP:0005390', 'MP:0005391', 'MP:0005378', 'MP:0005389', 'MP:0005371', 'MP:0005382', 'MP:0005376', 'MP:0005379', 'MP:0005385']	['']	[['']]
2906	CDON	50937	Cdon	MGI:1926387		MP:0011088,MP:0002083,MP:0004462,MP:0004463,MP:0030202,MP:0000455,MP:0008535,MP:0000430,MP:0004948,MP:0000440,MP:0000783,MP:0005157,MP:0000746,MP:0012541,MP:0011090,MP:0004790,MP:0009897,MP:0001265,MP:0011086,MP:0001891,MP:0030218,MP:0001914,MP:0004538,MP:0002233,MP:0030314,MP:0000822,MP:0002820,MP:0003935,MP:0009653,MP:0001614,MP:0030197,MP:0030201,MP:0012256,MP:0000788,MP:0000428,MP:0030137,MP:0011110,MP:0006254	HP:0002465,HP:0002465,HP:0002465,HP:0002465,HP:0002474,HP:0002451,HP:0002451,HP:0002451,HP:0002451,HP:0007301,HP:0007301,HP:0007301,HP:0007301,HP:0009932,HP:0009932,HP:0009932,HP:0009932,HP:0009914,HP:0009914,HP:0009914,HP:0009914,HP:0009914,HP:0002418,HP:0003745,HP:0001290,HP:0001274,HP:0001274,HP:0001274,HP:0001274,HP:0001274,HP:0001274,HP:0001273,HP:0001254,HP:0001254,HP:0001254,HP:0001254,HP:0001250,HP:0001250,HP:0001250,HP:0001250,HP:0001250,HP:0001250,HP:0001249,HP:0001249,HP:0001249,HP:0001249,HP:0001249,HP:0001249,HP:0001249,HP:0001263,HP:0001263,HP:0001257,HP:0001257,HP:0001257,HP:0001257,HP:0100842,HP:0008736,HP:0008736,HP:0007375,HP:0002540,HP:0002540,HP:0002540,HP:0002540,HP:0003828,HP:0000062,HP:0001371,HP:0001371,HP:0001371,HP:0001371,HP:0001355,HP:0001360,HP:0001360,HP:0000028,HP:0001328,HP:0001328,HP:0001328,HP:0001328,HP:0001328,HP:0001344,HP:0001344,HP:0001344,HP:0001344,HP:0000006,HP:0002650,HP:0002650,HP:0002650,HP:0002650,HP:0002650,HP:0000193,HP:0000193,HP:0000193,HP:0000193,HP:0000161,HP:0000161,HP:0000161,HP:0000161,HP:0000175,HP:0000175,HP:0000175,HP:0000175,HP:0000175,HP:0000175,HP:0410030,HP:0006315,HP:0006315,HP:0006315,HP:0006315,HP:0006315,HP:0008947,HP:0008947,HP:0008947,HP:0008947,HP:0012110,HP:0000119,HP:0000119,HP:0000119,HP:0000119,HP:0002793,HP:0002793,HP:0002793,HP:0002793,HP:0000104,HP:0002020,HP:0002020,HP:0002020,HP:0002020,HP:0002019,HP:0002019,HP:0002019,HP:0002019,HP:0002033,HP:0002033,HP:0002033,HP:0002033,HP:0002015,HP:0002015,HP:0002015,HP:0002015,HP:0002015,HP:0002013,HP:0002013,HP:0002013,HP:0002013,HP:0040327,HP:0040327,HP:0040327,HP:0040327,HP:0005968,HP:0005968,HP:0005968,HP:0005968,HP:0002099,HP:0011755,HP:0011787,HP:0011787,HP:0011787,HP:0011787,HP:0003468,HP:0003458,HP:0002270,HP:0002270,HP:0002270,HP:0002270,HP:0100704,HP:0100704,HP:0100704,HP:0100704,HP:0100710,HP:0002247,HP:0010654,HP:0010654,HP:0010654,HP:0010654,HP:0007018,HP:0007018,HP:0007018,HP:0007018,HP:0010644,HP:0011968,HP:0011968,HP:0011968,HP:0011968,HP:0011951,HP:0011951,HP:0011951,HP:0011951,HP:0002363,HP:0002363,HP:0002363,HP:0002363,HP:0001028,HP:0010804,HP:0009800,HP:0031860,HP:0031860,HP:0031860,HP:0031860,HP:0000612,HP:0001943,HP:0000601,HP:0000601,HP:0000601,HP:0000601,HP:0000601,HP:0000601,HP:0009062,HP:0009062,HP:0009062,HP:0009062,HP:0012650,HP:0000664,HP:0004322,HP:0004322,HP:0004322,HP:0004322,HP:0004322,HP:0004322,HP:0006979,HP:0006979,HP:0006979,HP:0006979,HP:0030680,HP:0031913,HP:0000772,HP:0000737,HP:0000737,HP:0000737,HP:0000737,HP:0000739,HP:0000739,HP:0000739,HP:0000739,HP:0000736,HP:0012718,HP:0012718,HP:0012718,HP:0012718,HP:0000741,HP:0000741,HP:0000741,HP:0000741,HP:0000716,HP:0000716,HP:0000716,HP:0000716,HP:0000708,HP:0000708,HP:0000708,HP:0000708,HP:0011471,HP:0011471,HP:0011471,HP:0011471,HP:0011471,HP:0011442,HP:0011442,HP:0011442,HP:0011442,HP:0000786,HP:0003196,HP:0000924,HP:0000924,HP:0000924,HP:0000924,HP:0004478,HP:0000873,HP:0000873,HP:0000873,HP:0000873,HP:0000873,HP:0000871,HP:0000871,HP:0000871,HP:0000871,HP:0000871,HP:0000864,HP:0000863,HP:0000835,HP:0000830,HP:0012806,HP:0012806,HP:0012806,HP:0012806,HP:0000818,HP:0000818,HP:0000818,HP:0000818,HP:0000826,HP:0000821,HP:0000821,HP:0000824,HP:0000824,HP:0000824,HP:0000824,HP:0000823,HP:0040064,HP:0040064,HP:0040064,HP:0040064,HP:0045005,HP:0045005,HP:0045005,HP:0045005,HP:0012285,HP:0012285,HP:0012285,HP:0012285,HP:0000256,HP:0000256,HP:0000256,HP:0000256,HP:0002827,HP:0002827,HP:0002827,HP:0002827,HP:0000238,HP:0000238,HP:0000238,HP:0000238,HP:0000252,HP:0000252,HP:0000252,HP:0000252,HP:0000252,HP:0000252,HP:0000252,HP:0000218,HP:0000218,HP:0000218,HP:0000218,HP:0001545,HP:0001522,HP:0002871,HP:0002871,HP:0002871,HP:0002871,HP:0000202,HP:0001508,HP:0001508,HP:0001508,HP:0001508,HP:0001508,HP:0001511,HP:0001510,HP:0001510,HP:0001510,HP:0001510,HP:0006528,HP:0006528,HP:0006528,HP:0006528,HP:0001680,HP:0000322,HP:0001627,HP:0001627,HP:0001627,HP:0001627,HP:0001622,HP:0001636,HP:0000407,HP:0000407,HP:0000407,HP:0000407,HP:0000486,HP:0000478,HP:0000478,HP:0000478,HP:0000478,HP:0000463,HP:0000457,HP:0000457,HP:0000457,HP:0000457,HP:0000453,HP:0000446,HP:0001748,HP:0000520,HP:0000574	['MP:0005388', 'MP:0005386', 'MP:0005390', 'MP:0005380', 'MP:0005382', 'MP:0003631', 'MP:0005385', 'MP:0005381', 'MP:0005384', 'MP:0005378']	['HP:0000234', 'HP:0011968', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0000078', 'HP:0002017', 'HP:0040064', 'HP:0002686', 'HP:0001626', 'HP:0002664', 'HP:0001371', 'HP:0002019', 'HP:0000598', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001622', 'HP:0000818', 'HP:0001574', 'HP:0001743', 'HP:0001939']	[['MP:0005382'], ['MP:0005386'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005389'], ['MP:0005381'], ['MP:0005371'], ['MP:0005389'], ['MP:0005385'], ['MP:0002006'], ['MP:0005390'], ['MP:0005381'], ['MP:0005377'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005389'], ['MP:0005379'], ['MP:0010771'], ['MP:0005397', 'MP:0005387'], ['MP:0005376']]
2907	CDPF1	150383	Cdpf1	MGI:1919605				['']	['']	[['']]
2908	CDR1	1038	Cdr1	MGI:88359				['']	['']	[['']]
2909	CDR2	1039	Cdr2	MGI:1100885		MP:0002169		[]	['']	[['']]
2910	CDR2L	30850	Cdr2l	MGI:2684867				['']	['']	[['']]
2911	CDRT4	284040	Cdrt4	MGI:1913588				['']	['']	[['']]
2912	CDS1	1040	Cds1	MGI:1921846		MP:0002092,MP:0001297,MP:0001925		['MP:0005391', 'MP:0005389']	['']	[['']]
2913	CDS2	8760	Cds2	MGI:1332236		MP:0005017,MP:0001262,MP:0011100,MP:0003889,MP:0005015		['MP:0003631', 'MP:0005387', 'MP:0005397', 'MP:0005378']	['']	[['']]
2914	CDSN	1041	Cdsn	MGI:3505689		MP:0001239,MP:0001242,MP:0001874,MP:0001240,MP:0005561,MP:0000377,MP:0011964,MP:0011087,MP:0003809,MP:0001193,MP:0011100,MP:0001216,MP:0003658,MP:0001246,MP:0005641,MP:0003427,MP:0000414,MP:0004938	HP:0034838,HP:0007410,HP:0002550,HP:0007550,HP:0000007,HP:0000006,HP:0000164,HP:0000164,HP:0002099,HP:0002213,HP:0002209,HP:0002209,HP:0008404,HP:0002299,HP:0002293,HP:0001036,HP:0001047,HP:0001019,HP:0025092,HP:0003623,HP:0003621,HP:0100134,HP:0100133,HP:0004322,HP:0100038,HP:0003193,HP:0003212,HP:0003212,HP:0004528,HP:0000989,HP:0000989,HP:0000962,HP:0040189,HP:0040189,HP:0001597,HP:0001597,HP:0000499,HP:0001806,HP:0000534,HP:0001880	['MP:0010771', 'MP:0005397', 'MP:0005391', 'MP:0005385']	['HP:0000234', 'HP:0001507', 'HP:0002715', 'HP:0002086', 'HP:0040064', 'HP:0001574', 'HP:0025354', 'HP:0001939', 'HP:0001871']	[['MP:0005382'], ['MP:0005378'], ['MP:0005387'], ['MP:0005388'], ['MP:0005371'], ['MP:0010771'], ['MP:0005384'], ['MP:0005376'], ['MP:0005397']]
2915	CDT1	81620	Cdt1	MGI:1914427		MP:0002169	HP:0009939,HP:0009892,HP:0008551,HP:0001249,HP:0001249,HP:0001263,HP:0008736,HP:0008665,HP:0000064,HP:0000060,HP:0000059,HP:0000039,HP:0001382,HP:0000047,HP:0001363,HP:0000028,HP:0000028,HP:0001328,HP:0000007,HP:0000179,HP:0000193,HP:0000160,HP:0000160,HP:0000176,HP:0000175,HP:0002705,HP:0002750,HP:0002750,HP:0002098,HP:0002097,HP:0002094,HP:0005930,HP:0100490,HP:0003577,HP:0003561,HP:0100783,HP:0011968,HP:0011968,HP:0003510,HP:0004209,HP:0004322,HP:0003042,HP:0000772,HP:0003100,HP:0003100,HP:0003187,HP:0000895,HP:0000278,HP:0006443,HP:0006443,HP:0002816,HP:0000252,HP:0000252,HP:0002878,HP:0001508,HP:0001508,HP:0001511,HP:0001511,HP:0001510,HP:0000365,HP:0000356,HP:0000358,HP:0000369,HP:0000369,HP:0000347,HP:0000347,HP:0000327,HP:0000327,HP:0006660,HP:0012471,HP:0000413,HP:0011267	[]	['HP:0000234', 'HP:0001371', 'HP:0011968', 'HP:0000598', 'HP:0000079', 'HP:0001507', 'HP:0000707', 'HP:0003011', 'HP:0000924', 'HP:0000078', 'HP:0002086', 'HP:0040064', 'HP:0000769']	[['MP:0005382'], ['MP:0005390'], ['MP:0005386'], ['MP:0005377'], ['MP:0005367'], ['MP:0005378'], ['MP:0003631'], ['MP:0005369'], ['MP:0005390'], ['MP:0005389'], ['MP:0005388'], ['MP:0005371'], ['MP:0010771']]
2916	CDV3	55573	Cdv3	MGI:2448759				['']	['']	[['']]
2917	CDV3	55573	Cdv3-ps	MGI:3646628				['']	['']	[['']]
2918	CDX1	1044	Cdx1	MGI:88360		MP:0004618,MP:0004599,MP:0002169,MP:0004658,MP:0030282,MP:0010728,MP:0004601,MP:0004613,MP:0000150,MP:0000079,MP:0004615,MP:0003345,MP:0000151,MP:0000080,MP:0004607,MP:0005269,MP:0004229,MP:0000154,MP:0003036		['MP:0005382', 'MP:0005390', 'MP:0005397', 'MP:0005380']	['']	[['']]
2919	CDX2	1045	Cdx2	MGI:88361		MP:0004618,MP:0001730,MP:0005028,MP:0001714,MP:0004045,MP:0001262,MP:0003702,MP:0002169,MP:0002044,MP:0003269,MP:0000494,MP:0011092,MP:0003694,MP:0011096,MP:0009657,MP:0000592,MP:0001265,MP:0004963,MP:0006043,MP:0000150,MP:0001728,MP:0001716,MP:0008011,MP:0002043,MP:0004615,MP:0004957,MP:0010380,MP:0006042,MP:0002404,MP:0004073,MP:0000496,MP:0012119,MP:0005031,MP:0000585,MP:0011094,MP:0000495,MP:0003036,MP:0012114		['MP:0005390', 'MP:0005389', 'MP:0005380', 'MP:0005381', 'MP:0002006', 'MP:0005384', 'MP:0005371', 'MP:0005378']	['']	[['']]
2920	CDX4	1046	Cdx4	MGI:88362		MP:0004618,MP:0002169,MP:0004229		['MP:0005390', 'MP:0005397', 'MP:0005380']	['']	[['']]
2921	CDYL	9425	Cdyl	MGI:1339956				['']	['']	[['']]
2922	CDYL2	124359	Cdyl2	MGI:1923046		MP:0001402,MP:0002875,MP:0001417,MP:0020421,MP:0001258		['MP:0005386', 'MP:0005397', 'MP:0005378']	['']	[['']]
2923	CEACAM1	634	Ceacam1	MGI:1347245		MP:0004499,MP:0002410,MP:0031047,MP:0020950,MP:0004883,MP:0000495		['MP:0005376', 'MP:0002006', 'MP:0005387', 'MP:0005381', 'MP:0005385']	['']	[['']]
2924	CEACAM1	634	Ceacam2	MGI:1347246		MP:0003960,MP:0005293,MP:0009286,MP:0014172,MP:0005290,MP:0031415,MP:0002079,MP:0005331,MP:0001261,MP:0002644,MP:0005438,MP:0003058,MP:0004890,MP:0010024,MP:0031618,MP:0008964,MP:0001433,MP:0002078,MP:0010379,MP:0005669		['MP:0005376', 'MP:0005369', 'MP:0005384', 'MP:0005386', 'MP:0005379', 'MP:0005378', 'MP:0005375']	['']	[['']]
2925	CEACAM1	634	Psg18	MGI:1347251				['']	['']	[['']]
2926	CEACAM16	388551	Ceacam16	MGI:2685615		MP:0004749,MP:0005633,MP:0011967,MP:0014409,MP:0013962,MP:0014407,MP:0002702,MP:0014091,MP:0006336,MP:0012121	HP:0000007,HP:0000006,HP:0003621,HP:0003621,HP:0000407,HP:0000407,HP:0001751,HP:0001751,HP:0000505	['MP:0005391', 'MP:0005377', 'MP:0005376']	['HP:0000478', 'HP:0000598']	[['MP:0005391'], ['MP:0005377']]
2927	CEACAM18	729767	Ceacam18	MGI:1919681				['']	['']	[['']]
2928	CEACAM19	56971	Ceacam19	MGI:2443001				['']	['']	[['']]
2929	CEACAM20	125931	Ceacam20	MGI:1918851				['']	['']	[['']]
2930	CEACAM21	90273	Ceacam15	MGI:2141810				['']	['']	[['']]
2931	CEACAM21	90273	Ceacam9	MGI:1347247		MP:0002169		[]	['']	[['']]
2932	CEACAM4	1089	Ceacam11	MGI:1914246		MP:0010123		['MP:0005390']	['']	[['']]
2933	CEACAM4	1089	Ceacam12	MGI:1914565				['']	['']	[['']]
2934	CEACAM4	1089	Ceacam13	MGI:1917035				['']	['']	[['']]
2935	CEACAM4	1089	Ceacam23	MGI:3647191		MP:0001556		['MP:0005376']	['']	[['']]
2936	CEACAM4	1089	Ceacam3	MGI:3646296		MP:0010088,MP:0005567,MP:0008806		['MP:0005376']	['']	[['']]
2937	CEACAM4	1089	Ceacam5	MGI:1920500		MP:0000218,MP:0002599,MP:0005642		['MP:0005397', 'MP:0005387']	['']	[['']]
2938	CEACAM4	1089	Psg17	MGI:1347250				['']	['']	[['']]
2939	CEACAM4	1089	Psg19	MGI:1347252				['']	['']	[['']]
2940	CEACAM4	1089	Psg20	MGI:1891352		MP:0005179,MP:0011110		['MP:0005376']	['']	[['']]
2941	CEACAM4	1089	Psg21	MGI:1891353				['']	['']	[['']]
2942	CEACAM4	1089	Psg22	MGI:1891354		MP:0013279		['MP:0005376']	['']	[['']]
2943	CEACAM4	1089	Psg23	MGI:1891355		MP:0002169		[]	['']	[['']]
2944	CEACAM4	1089	Psg25	MGI:1891357		MP:0003020,MP:0005565,MP:0005553		['MP:0005376']	['']	[['']]
2945	CEACAM4	1089	Psg26	MGI:1891358		MP:0002075		['MP:0010771']	['']	[['']]
2946	CEACAM4	1089	Psg27	MGI:1891359		MP:0002079		['MP:0005376']	['']	[['']]
2947	CEACAM4	1089	Psg28	MGI:1891360				['']	['']	[['']]
2948	CEACAM4	1089	Psg29	MGI:1891361				['']	['']	[['']]
2949	CEACAM5	1048	Ceacam1	MGI:1347245		MP:0004499,MP:0002410,MP:0031047,MP:0020950,MP:0004883,MP:0000495		['MP:0005376', 'MP:0002006', 'MP:0005387', 'MP:0005381', 'MP:0005385']	['']	[['']]
2950	CEACAM5	1048	Ceacam2	MGI:1347246		MP:0003960,MP:0005293,MP:0009286,MP:0014172,MP:0005290,MP:0031415,MP:0002079,MP:0005331,MP:0001261,MP:0002644,MP:0005438,MP:0003058,MP:0004890,MP:0010024,MP:0031618,MP:0008964,MP:0001433,MP:0002078,MP:0010379,MP:0005669		['MP:0005376', 'MP:0005369', 'MP:0005384', 'MP:0005386', 'MP:0005379', 'MP:0005378', 'MP:0005375']	['']	[['']]
2951	CEACAM5	1048	Psg18	MGI:1347251				['']	['']	[['']]
2952	CEACAM6	4680	Ceacam1	MGI:1347245		MP:0004499,MP:0002410,MP:0031047,MP:0020950,MP:0004883,MP:0000495	HP:0032261,HP:0002570,HP:0032342,HP:0001392,HP:0001394,HP:0002783,HP:0002726,HP:0002724,HP:0002024,HP:0002020,HP:0002035,HP:0002099,HP:0100582,HP:0002110,HP:0002107,HP:0002105,HP:0002205,HP:0000739,HP:0000716,HP:0000787,HP:0004401,HP:0012873,HP:0045082,HP:0003251,HP:0000939,HP:0000938,HP:0012236,HP:0000246,HP:0001508,HP:0002842,HP:0006536,HP:0002910,HP:0000365,HP:0005376,HP:0001738	['MP:0005376', 'MP:0002006', 'MP:0005387', 'MP:0005381', 'MP:0005385']	['HP:0000234', 'HP:0000598', 'HP:0000079', 'HP:0001507', 'HP:0040127', 'HP:0000707', 'HP:0011024', 'HP:0002715', 'HP:0000924', 'HP:0001732', 'HP:0000708', 'HP:0002086', 'HP:0000078', 'HP:0001392', 'HP:0001939']	[['MP:0005382'], ['MP:0005377'], ['MP:0005367'], ['MP:0005378'], ['MP:0010771', 'MP:0005379'], ['MP:0003631'], ['MP:0005381'], ['MP:0005387'], ['MP:0005390'], ['MP:0005379'], ['MP:0005386'], ['MP:0005388'], ['MP:0005389'], ['MP:0005370'], ['MP:0005376']]
2953	CEACAM6	4680	Ceacam2	MGI:1347246		MP:0003960,MP:0005293,MP:0009286,MP:0014172,MP:0005290,MP:0031415,MP:0002079,MP:0005331,MP:0001261,MP:0002644,MP:0005438,MP:0003058,MP:0004890,MP:0010024,MP:0031618,MP:0008964,MP:0001433,MP:0002078,MP:0010379,MP:0005669	HP:0032261,HP:0002570,HP:0032342,HP:0001392,HP:0001394,HP:0002783,HP:0002726,HP:0002724,HP:0002024,HP:0002020,HP:0002035,HP:0002099,HP:0100582,HP:0002110,HP:0002107,HP:0002105,HP:0002205,HP:0000739,HP:0000716,HP:0000787,HP:0004401,HP:0012873,HP:0045082,HP:0003251,HP:0000939,HP:0000938,HP:0012236,HP:0000246,HP:0001508,HP:0002842,HP:0006536,HP:0002910,HP:0000365,HP:0005376,HP:0001738	['MP:0005376', 'MP:0005369', 'MP:0005384', 'MP:0005386', 'MP:0005379', 'MP:0005378', 'MP:0005375']	['HP:0000234', 'HP:0000598', 'HP:0000079', 'HP:0001507', 'HP:0040127', 'HP:0000707', 'HP:0011024', 'HP:0002715', 'HP:0000924', 'HP:0001732', 'HP:0000708', 'HP:0002086', 'HP:0000078', 'HP:0001392', 'HP:0001939']	[['MP:0005382'], ['MP:0005377'], ['MP:0005367'], ['MP:0005378'], ['MP:0010771', 'MP:0005379'], ['MP:0003631'], ['MP:0005381'], ['MP:0005387'], ['MP:0005390'], ['MP:0005379'], ['MP:0005386'], ['MP:0005388'], ['MP:0005389'], ['MP:0005370'], ['MP:0005376']]
