	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
1175	ATP6V1C1	528	Atp6v1c1	MGI:1913585	MP:0013293,MP:0002590,MP:0011100,MP:0013292,MP:0000218,MP:0001417,MP:0009142		3033,2478,3158,1756,650,3197,1169		7	
1176	ATP6V1C2	245973	Atp6v1c2	MGI:1916025						
1177	ATP6V1D	51382	Atp6v1d	MGI:1921084	MP:0013293,MP:0003928,MP:0008935,MP:0011100,MP:0005505,MP:0004122,MP:0005385,MP:0003960,MP:0013292,MP:0001402		3033,4653,1514,3158,1951,4841,2635,3372,1756,1024		10	
1178	ATP6V1E1	529	Atp6v1e1	MGI:894326	MP:0011100	HP:0000253,HP:0001511,HP:0001631,HP:0008689,HP:0001634,HP:0001257,HP:0000218,HP:0001015,HP:0007392,HP:0002465,HP:0002187,HP:0002751,HP:0000343,HP:0011968,HP:0000621,HP:0005989,HP:0001302,HP:0003199,HP:0005272,HP:0000319,HP:0009099,HP:0000121,HP:0006891,HP:0000307,HP:0000973,HP:0001763,HP:0001385,HP:0003758,HP:0004325,HP:0005180,HP:0000303,HP:0012385,HP:0006380,HP:0000455,HP:0001263,HP:0002107,HP:0003160,HP:0025167,HP:0001321,HP:0008947,HP:0002761,HP:0000054,HP:0000678,HP:0004322,HP:0011120,HP:0001188,HP:0025201,HP:0001324,HP:0011712,HP:0002208,HP:0007552,HP:0001582,HP:0002126,HP:0000023,HP:0001762,HP:0000272,HP:0002097,HP:0001601,HP:0200128,HP:0001374,HP:0003391,HP:0000494,HP:0025244,HP:0003196,HP:0000639,HP:0000486,HP:0001270,HP:0001562,HP:0008897,HP:0007457,HP:0009933,HP:0000325,HP:0001305,HP:0000327,HP:0001519,HP:0000463,HP:0010761,HP:0002021,HP:0001845,HP:0002361,HP:0000316,HP:0000750,HP:0001290,HP:0001382,HP:0008070,HP:0011003,HP:0000726,HP:0000369,HP:0001508,HP:0009125,HP:0001655,HP:0100874,HP:0000581,HP:0010989,HP:0001339,HP:0001476,HP:0000160,HP:0001250,HP:0001659,HP:0000670	3158	3705,1913,2498,3435,2079,2530,4125,899,3683,718,4928,5344,1293,2933,3532,1762,5527,502,3021,347,4763,1437,542,3876,3418,1147,3330,622,235,3582,2594,4790,1435,1062,3622,166,3393,1863,3219,2607,1663,3397,3203,76,2761,3108,5344,4890,132,3991,4847,1832,2779,2506,1625,4728,3763,3302,2312,257,3432,4688,2297,2239,3119,1064,3251,3839,3658,5405,3680,4801,2198,1337,1623,1506,4491,868,1993,1530,3838,1515,5483,1948,910,985,1517,5295,1900,2717,1835,553,57,2297,59,5367,1724,3492,1447,3865	1	98
1179	ATP6V1E2	90423	Atp6v1e2	MGI:1922165						
1180	ATP6V1F	9296	Atp6v1f	MGI:1913394	MP:0011100,MP:0013292		3158,1756		2	
1181	ATP6V1G1	9550	Atp6v1g1	MGI:1913540						
1182	ATP6V1G2	534	Atp6v1g2	MGI:1913487	MP:0001399		3358		1	
1183	ATP6V1G3	127124	Atp6v1g3	MGI:2450548						
1184	ATP6V1H	51606	Atp6v1h	MGI:1914864	MP:0002792,MP:0011098,MP:0000164,MP:0020137,MP:0004989,MP:0009346,MP:0001541,MP:0004986,MP:0000198,MP:0011100,MP:0011585,MP:0010876,MP:0004016,MP:0002968,MP:0020040,MP:0000066,MP:0008396,MP:0000194,MP:0013292		5753,2117,955,1873,269,3441,1771,1458,3200,3158,5633,3861,4296,3204,1372,3959,2650,2376,1756		19	
1185	ATP7A	538	Atp7a	MGI:99400	MP:0003203,MP:0004953,MP:0001405,MP:0001191,MP:0001278,MP:0001279,MP:0004509,MP:0006349,MP:0009401,MP:0000572,MP:0011108,MP:0010389,MP:0010247,MP:0003067,MP:0011109,MP:0006208,MP:0008438,MP:0003674,MP:0005150,MP:0011214,MP:0000755,MP:0002082,MP:0002074,MP:0001265,MP:0005335,MP:0005508,MP:0001722,MP:0003084,MP:0000556,MP:0002075,MP:0010574,MP:0002861,MP:0003211,MP:0006036,MP:0005366,MP:0000137,MP:0000877,MP:0000371,MP:0002270,MP:0010895,MP:0000886,MP:0000150,MP:0004882,MP:0005435,MP:0004508,MP:0010856,MP:0000272,MP:0008731,MP:0001732,MP:0004505,MP:0003717,MP:0002826,MP:0004043,MP:0002066,MP:0000372,MP:0000815,MP:0003415,MP:0008943,MP:0005243,MP:0001524,MP:0011100,MP:0000576,MP:0010470,MP:0001513,MP:0010053,MP:0005584,MP:0012661,MP:0000489,MP:0001393,MP:0001935,MP:0001731,MP:0002115,MP:0031204,MP:0001284,MP:0001925,MP:0002098,MP:0002133,MP:0002080,MP:0020308,MP:0004819,MP:0004076,MP:0011215,MP:0000788,MP:0003964,MP:0003089,MP:0011085,MP:0005171,MP:0000358,MP:0003918,MP:0000367,MP:0031200,MP:0010769,MP:0005621,MP:0012574,MP:0001914,MP:0003198,MP:0003809,MP:0011090,MP:0011218,MP:0004676,MP:0010243,MP:0006278,MP:0003560,MP:0001926,MP:0014178,MP:0010062,MP:0003279,MP:0011092,MP:0011091,MP:0001053,MP:0010016,MP:0010937,MP:0005202,MP:0001525,MP:0001510,MP:0005363,MP:0011098,MP:0011101,MP:0001765,MP:0002832,MP:0011086,MP:0001274,MP:0010900,MP:0010908,MP:0000410,MP:0001951,MP:0002703,MP:0003229,MP:0009901,MP:0000402,MP:0000421,MP:0001263,MP:0002269,MP:0002083,MP:0000163,MP:0001402,MP:0001406,MP:0001505,MP:0000938,MP:0011089,MP:0000745,MP:0000400,MP:0003952,MP:0001698,MP:0001529,MP:0001718,MP:0011110,MP:0003065,MP:0003951,MP:0003907	HP:0005054,HP:0004408,HP:0001249,HP:0000934,HP:0008368,HP:0001511,HP:0000348,HP:0005599,HP:0002645,HP:0100240,HP:0007269,HP:0001396,HP:0000270,HP:0000926,HP:0002650,HP:0000276,HP:0006660,HP:0002705,HP:0000952,HP:0001257,HP:0001537,HP:0000938,HP:0000218,HP:0000939,HP:0002028,HP:0000894,HP:0002754,HP:0000271,HP:0000293,HP:0002827,HP:0200008,HP:0001328,HP:0005743,HP:0000298,HP:0000343,HP:0002376,HP:0010318,HP:0012378,HP:0001265,HP:0000015,HP:0002862,HP:0000885,HP:0001510,HP:0006507,HP:0000010,HP:0002808,HP:0200021,HP:0001824,HP:0002936,HP:0008818,HP:0000958,HP:0000248,HP:0002812,HP:0001181,HP:0006000,HP:0000407,HP:0000126,HP:0000444,HP:0000347,HP:0002170,HP:0001377,HP:0010562,HP:0000973,HP:0000269,HP:0001763,HP:0001385,HP:0005792,HP:0002036,HP:0002251,HP:0001263,HP:0001156,HP:0000252,HP:0002020,HP:0000767,HP:0000774,HP:0100806,HP:0010837,HP:0000944,HP:0002017,HP:0002991,HP:0100777,HP:0007420,HP:0025270,HP:0003019,HP:0000759,HP:0003874,HP:0002857,HP:0002027,HP:0004322,HP:0000929,HP:0003487,HP:0012115,HP:0001531,HP:0003693,HP:0001276,HP:0002757,HP:0000974,HP:0002797,HP:0002514,HP:0001324,HP:0000275,HP:0002208,HP:0001278,HP:0002748,HP:0004474,HP:0002317,HP:0003445,HP:0001582,HP:0000768,HP:0005302,HP:0100541,HP:0000023,HP:0002521,HP:0002014,HP:0001252,HP:0002749,HP:0002072,HP:0000494,HP:0011097,HP:0002019,HP:0100790,HP:0009556,HP:0003276,HP:0005344,HP:0003819,HP:0008872,HP:0002033,HP:0000708,HP:0006487,HP:0001241,HP:0002045,HP:0000472,HP:0000174,HP:0000987,HP:0002224,HP:0003066,HP:0000239,HP:0003172,HP:0002578,HP:0002299,HP:0012719,HP:0100031,HP:0002673,HP:0001382,HP:0002015,HP:0008070,HP:0001761,HP:0000978,HP:0003016,HP:0001010,HP:0006579,HP:0100874,HP:0000916,HP:0002460,HP:0003777,HP:0001943,HP:0005293,HP:0001072,HP:0100699,HP:0002421,HP:0100633,HP:0001596,HP:0002239,HP:0100545,HP:0011967,HP:0001250,HP:0004279,HP:0005214,HP:0000977,HP:0002617	4961,728,5542,235,4404,6745,3997,1102,1603,874,6509,639,1416,1679,1178,4780,1920,2236,2979,1549,3315,6788,351,3130,4504,2647,3169,1741,814,4223,6755,2104,5510,2538,2110,93,2616,2110,2932,1052,2543,2201,2929,7100,4729,787,2238,3756,2686,716,1297,5667,1880,1733,967,6981,4188,3109,4075,1581,3158,3991,5599,2928,1768,3659,2616,3656,3307,2836,3435,1960,4182,1867,3243,399,770,5162,1827,2075,435,7053,571,1827,1425,3190,84,5929,2392,1982,2616,6827,1911,1712,3491,4989,3173,5114,2057,5216,1679,1030,757,1495,3480,2057,2644,884,376,1451,5054,5395,1916,3330,1936,6011,2117,5068,2170,6066,203,1528,4607,1052,1254,1597,1416,2005,6791,230,5025,2108,4064,3221,1316,1024,3748,1647,1103,639,3283,230,1549,852,806,3856,3610,1102,1823,4416	1938,1091,544,3320,590,1913,1353,578,2892,1168,4619,124,3475,5265,595,1736,4258,2304,3935,2530,5532,3016,4125,1876,2854,2733,1338,436,2845,349,1643,4184,2284,5247,1293,4188,2086,2403,1357,227,823,150,636,1213,2168,659,2419,158,2103,5022,5521,2148,243,2099,316,2507,2897,3354,2000,320,1438,2636,3418,2534,1147,3330,396,2537,2969,3622,3866,847,4589,1099,5174,2425,5355,2550,2567,3594,3718,548,3091,1681,4209,1213,850,3693,76,1213,3348,2528,3719,2038,4056,297,2671,4164,2993,4890,3232,3991,761,983,2517,4748,2553,1832,2013,4876,1599,2506,5276,3023,2755,274,1957,4688,1328,2119,3779,5164,3594,172,2937,2189,5020,3011,4366,3288,3325,3474,1455,746,2084,3815,508,3319,1710,4940,1566,3708,928,1948,2499,910,1670,89,2352,1936,1310,553,2900,3018,325,3782,1554,958,939,1181,4654,4035,259,5245,3571,3492,1267,4417,2385,3324	138	167
1186	ATP7B	540	Atp7b	MGI:103297	MP:0001881,MP:0003329,MP:0008540,MP:0005011,MP:0003718,MP:0001511,MP:0011086,MP:0000798,MP:0001274,MP:0006349,MP:0003066,MP:0001732,MP:0003067,MP:0011085,MP:0001569,MP:0000794,MP:0011214,MP:0000192,MP:0002082,MP:0000607,MP:0006350,MP:0001262,MP:0003224,MP:0000745,MP:0003952,MP:0002106,MP:0001392,MP:0010243,MP:0001923,MP:0000598,MP:0003065,MP:0001393,MP:0000804,MP:0003046,MP:0000371,MP:0002152	HP:6000642,HP:0032254,HP:0000934,HP:0001249,HP:0000829,HP:0002829,HP:0002756,HP:0003109,HP:0003270,HP:0000952,HP:0030214,HP:0000939,HP:0002040,HP:0000124,HP:0001744,HP:0002240,HP:0007327,HP:0000716,HP:0000140,HP:0000762,HP:0003690,HP:0001824,HP:0008994,HP:0001394,HP:0001402,HP:0001903,HP:0003537,HP:0001337,HP:0200122,HP:0002378,HP:0000751,HP:0001155,HP:0002758,HP:0004324,HP:0002355,HP:0010837,HP:0003073,HP:0002307,HP:0010839,HP:0200119,HP:0002548,HP:0001397,HP:0012115,HP:0200032,HP:0001369,HP:0100785,HP:0000787,HP:0002275,HP:0001541,HP:0000718,HP:0001873,HP:0001260,HP:0002375,HP:0000093,HP:0002312,HP:0002749,HP:0001271,HP:0031964,HP:0002910,HP:0002071,HP:0001878,HP:0003076,HP:0004409,HP:0010741,HP:0010838,HP:0034254,HP:0001259,HP:0001332,HP:0002150,HP:0002451,HP:0002653,HP:0033748,HP:0000969,HP:0002015,HP:0001382,HP:0003418,HP:0000726,HP:0000989,HP:0001508,HP:0000978,HP:0001386,HP:0006580,HP:0031956,HP:0002063,HP:0001250,HP:0002013,HP:0003355,HP:0002904	4537,424,1857,4876,2642,2594,203,6565,1528,1102,4777,2686,1679,3190,68,1793,1549,4230,6788,2365,1194,828,1448,3283,1549,1610,934,1679,522,1856,1102,3307,4369,68,2110,3746	213,2719,3320,544,4192,1422,2719,4954,331,3935,4110,1876,36,3510,1607,4950,1108,2326,672,2527,781,158,2724,1574,724,4139,1358,3641,1108,2500,2596,2558,1547,573,2560,5355,3267,945,3940,4384,1126,3840,2528,3952,4330,2462,2921,291,3479,2327,3247,2855,3265,2817,3177,274,1960,3940,1010,2018,3197,3164,3952,416,213,1126,854,1265,2366,4904,3316,4242,1540,2499,1948,1381,1517,5504,1900,89,1214,186,2598,1428,3492,378,1271,3861	32	82
1187	ATP8	4509	mt-Atp8	MGI:99926	MP:0001363	HP:0000821,HP:0000510,HP:0001644,HP:0011675,HP:0002750,HP:0000407,HP:0001332,HP:0001987,HP:0000508,HP:0001272,HP:0012758,HP:0000602,HP:0001324,HP:0002120,HP:0000648,HP:0002098,HP:0001639,HP:0003200,HP:0001270,HP:0001254,HP:0032794,HP:0003457,HP:0001260,HP:0001258,HP:0003535,HP:0003348,HP:0004374,HP:0000252,HP:0001252,HP:0002445,HP:0007703,HP:0000089,HP:0001298,HP:0003546,HP:0002240,HP:0001315,HP:0003128,HP:0004622,HP:0000135,HP:0000365,HP:0003202,HP:0000590,HP:0001250,HP:0004322,HP:0001709,HP:0001251,HP:0000639,HP:0000618,HP:0000486,HP:0000830,HP:0000518,HP:0009830	1298	2706,2628,2409,3143,3249,2507,1265,3945,136,118,2885,5021,4890,4840,2221,533,3083,2509,3251,1,1433,2669,2855,682,2177,813,1519,847,2755,584,3434,5309,1425,5433,4950,3771,2422,2669,2496,174,452,1541,3492,76,1106,3140,3119,2634,1064,1946,16,2602	1	51
1188	ATP8A1	10396	Atp8a1	MGI:1330848	MP:0005641,MP:0005565,MP:0002875,MP:0001260		1154,3036,2433,6584		4	
1189	ATP8A2	51761	Atp8a2	MGI:1354710	MP:0003225,MP:0002857,MP:0001511,MP:0001732,MP:0011083,MP:0011085,MP:0000479,MP:0008587,MP:0001516,MP:0005150,MP:0002083,MP:0008450,MP:0011084,MP:0000920,MP:0005319,MP:0008025,MP:0004021,MP:0002082,MP:0005559,MP:0001406,MP:0001262,MP:0001265,MP:0011100,MP:0001505,MP:0000938,MP:0002883,MP:0001524,MP:0006219,MP:0000745,MP:0008515,MP:0013723,MP:0011967,MP:0008027,MP:0001431,MP:0001961,MP:0001513,MP:0005311,MP:0008586,MP:0003491,MP:0000921,MP:0001327,MP:0001486,MP:0001393,MP:0001489,MP:0004022,MP:0005201,MP:0009148,MP:0000189	HP:0007371,HP:0001249,HP:0002078,HP:0001272,HP:0002540,HP:0002120,HP:0100021,HP:0100022,HP:0009878,HP:0001260,HP:0000504,HP:0001288,HP:0001252,HP:0001347,HP:0000478,HP:0003202,HP:0001250,HP:0004322,HP:0001251,HP:0000486,HP:0000518	2991,357,2594,2686,3743,3190,956,3511,2158,2979,3221,2602,5258,1983,3447,5502,2663,6788,957,3748,828,3130,3158,1647,1103,1800,1581,5194,3283,7113,3584,715,2227,1611,858,2928,2840,2000,2585,5708,2420,2563,3307,2162,2148,1972,3680,3386	3290,544,1119,118,2232,4840,2979,2072,2887,2855,1715,3890,2755,4753,1894,452,3492,76,3140,1064,16	48	21
1190	ATP8B1	5205	Atp8b1	MGI:1859665	MP:0000031,MP:0010097,MP:0002792,MP:0000186,MP:0008528,MP:0004527,MP:0000218,MP:0010180,MP:0005344,MP:0011874,MP:0001732,MP:0009763,MP:0004404,MP:0001289,MP:0005560,MP:0005562,MP:0001263,MP:0008259,MP:0001314,MP:0010506,MP:0013278,MP:0000043,MP:0005365,MP:0004772,MP:0002855,MP:0010052,MP:0004789,MP:0003795,MP:0010124,MP:0001157,MP:0011967,MP:0005292,MP:0002875,MP:0004465,MP:0010053,MP:0000609,MP:0002981,MP:0002874,MP:0002591,MP:0001417,MP:0003960,MP:0002968,MP:0002644,MP:0004774,MP:0001293,MP:0002941,MP:0003255,MP:0000610,MP:0001486,MP:0000599,MP:0004357,MP:0002834,MP:0001489,MP:0005333,MP:0004738,MP:0000063,MP:0005343,MP:0010025,MP:0004398,MP:0000208,MP:0005627,MP:0009142	HP:0000821,HP:0012420,HP:0001406,HP:0031248,HP:0012164,HP:0001394,HP:0000988,HP:0001622,HP:0002643,HP:0011117,HP:0006575,HP:0100785,HP:0012689,HP:0030828,HP:0002748,HP:0000952,HP:0000938,HP:0012202,HP:0001337,HP:0001046,HP:0001541,HP:0100602,HP:0001082,HP:0000421,HP:0002014,HP:0000989,HP:0001508,HP:0001733,HP:0001744,HP:0002240,HP:0000716,HP:0025116,HP:0200150,HP:0002910,HP:0200148,HP:0030900,HP:0002908,HP:0000365,HP:0003155,HP:0002630,HP:0002027,HP:0004322,HP:0001732,HP:0001081,HP:0002960,HP:0001518,HP:0002904	587,2359,5753,414,5701,2554,650,1008,3397,1467,2686,976,2517,1643,5589,3936,2108,2707,1875,4983,5561,669,3050,2513,4395,3840,6524,1978,1924,885,715,949,2433,1149,1768,1803,1780,1289,2081,3197,3372,3204,1450,5559,3713,940,3809,1322,2563,1393,564,816,2162,1305,5756,3456,636,2276,287,2051,1391,1169	2706,3880,5251,999,2462,1574,1067,470,4698,1614,4247,2462,1614,1377,983,3935,3016,362,3641,4778,3479,3642,4008,3843,3023,5504,1900,4871,1607,4950,2326,1728,1816,1010,999,5504,32,174,4156,2331,3693,76,1816,424,1068,2548,3861	62	42
1191	ATP8B2	57198	Atp8b2	MGI:1859660	MP:0002968,MP:0010123,MP:0011110,MP:0005419		3204,3515,3610,2053		4	
1192	ATP8B3	148229	Atp8b3	MGI:1914581	MP:0011110,MP:0001922,MP:0004542,MP:0001935,MP:0005410		3610,5979,2413,2836,3288		5	
1193	ATP8B4	79895	Atp8b4	MGI:1859664	MP:0003795,MP:0010123,MP:0003961		1978,3515,4448		3	
1194	ATP8B5P	158381	Atp8b5	MGI:2444287						
1195	ATP9A	10079	Atp9a	MGI:1330826	MP:0004753,MP:0012307,MP:0001924,MP:0008415,MP:0008414,MP:0001399,MP:0002206,MP:0010053,MP:0002083,MP:0021090,MP:0020508,MP:0001415	HP:0000219,HP:0005484,HP:0000736,HP:0001320,HP:0000319,HP:0001684,HP:0008897,HP:0033838,HP:0001324,HP:0002360,HP:0011808,HP:0010864,HP:0000750,HP:0007018,HP:0000218,HP:0000733,HP:0005709,HP:0000718,HP:0001256,HP:0010863,HP:0002188,HP:0001508,HP:0001252,HP:0002020,HP:0002079,HP:0001344,HP:0002017,HP:0002370,HP:0000716,HP:0000729,HP:0001250,HP:0000486,HP:0001270,HP:0007010,HP:0000752,HP:0000286	2705,3165,5079,3365,2122,3358,3848,1768,3221,3388,3571,3052	1783,3296,42,3636,347,281,3658,4968,4890,2752,3419,4695,1515,2268,4125,3423,3978,2327,264,3466,3192,1900,2755,4589,1529,4554,2567,4968,2326,163,3492,1064,3251,1172,3303,3206	12	35
1196	ATP9B	374868	Atp9b	MGI:1354757						
1197	ATPAF1	64756	Atpaf1	MGI:2180560		HP:0000821,HP:0000510,HP:0001644,HP:0011675,HP:0000407,HP:0001332,HP:0001987,HP:0000508,HP:0001272,HP:0012758,HP:0000602,HP:0001324,HP:0002120,HP:0000648,HP:0002098,HP:0001639,HP:0001254,HP:0032794,HP:0001260,HP:0001258,HP:0003535,HP:0003348,HP:0000252,HP:0001252,HP:0002445,HP:0000089,HP:0001298,HP:0003546,HP:0002240,HP:0003128,HP:0000135,HP:0001250,HP:0004322,HP:0001251,HP:0000639,HP:0000618,HP:0000486,HP:0001270,HP:0000518,HP:0009830		2706,2628,2409,3143,2507,1265,3945,136,118,2885,5021,4890,4840,2221,533,3083,1,1433,2855,682,2177,813,847,2755,584,5309,1425,5433,4950,2422,2496,3492,76,3140,3119,2634,1064,3251,16,2602		40
1198	ATPAF2	91647	Atpaf2	MGI:2180561	MP:0001262,MP:0011100,MP:0000137,MP:0004648,MP:0000455,MP:0003345	HP:0000821,HP:0001276,HP:0001371,HP:0001644,HP:0000510,HP:0002033,HP:0011925,HP:0011675,HP:0001838,HP:0000407,HP:0001332,HP:0000154,HP:0001987,HP:0006989,HP:0000508,HP:0001272,HP:0012758,HP:0000602,HP:0001324,HP:0000347,HP:0002120,HP:0000648,HP:0002098,HP:0001639,HP:0009830,HP:0001254,HP:0000278,HP:0032794,HP:0012385,HP:0001260,HP:0001258,HP:0003535,HP:0000426,HP:0003348,HP:0011344,HP:0003819,HP:0000252,HP:0001252,HP:0001508,HP:0003648,HP:0002445,HP:0002490,HP:0000089,HP:0001298,HP:0003546,HP:0002240,HP:0003128,HP:0000135,HP:0001250,HP:0004322,HP:0001251,HP:0000639,HP:0000618,HP:0000486,HP:0001270,HP:0000518,HP:0011273,HP:0002151,HP:0003355	828,3158,93,5958,4412,1590	2706,4056,5033,2409,2628,5020,4548,3143,468,2507,1265,3637,3945,130,136,118,2885,5021,4890,2000,4840,2221,533,3083,2602,1,1747,1433,4790,2855,682,2177,2589,813,3280,2937,847,2755,1900,2054,584,3146,5309,1425,5433,4950,2422,2496,3492,76,3140,3119,2634,1064,3251,16,2609,3857,1271	6	59
1199	ATPSCKMT	134145	Atpsckmt	MGI:1915323	MP:0001973,MP:0002736,MP:0020955,MP:0020879,MP:0002272		3655,2324,2843,4092,43		5	
1200	ATR	545	Atr	MGI:108028	MP:0004852,MP:0003632,MP:0004953,MP:0008974,MP:0003203,MP:0001200,MP:0011496,MP:0008844,MP:0031381,MP:0002196,MP:0002020,MP:0004808,MP:0011125,MP:0005560,MP:0000780,MP:0000135,MP:0005150,MP:0000160,MP:0000379,MP:0008057,MP:0013508,MP:0001265,MP:0001711,MP:0002075,MP:0030004,MP:0009967,MP:0000377,MP:0000120,MP:0011346,MP:0000886,MP:0000333,MP:0005168,MP:0003202,MP:0003704,MP:0009362,MP:0031019,MP:0001732,MP:0008008,MP:0008924,MP:0011100,MP:0002639,MP:0001824,MP:0006042,MP:0000488,MP:0011120,MP:0013551,MP:0002835,MP:0004274,MP:0002233,MP:0011096,MP:0002397,MP:0011495,MP:0001218,MP:0001859,MP:0001129,MP:0000955,MP:0004856,MP:0000790,MP:0000788,MP:0004970,MP:0011085,MP:0000433,MP:0000885,MP:0000423,MP:0005631,MP:0001931,MP:0004228,MP:0000352,MP:0011363,MP:0002833,MP:0004956,MP:0000414,MP:0005152,MP:0004759,MP:0002073,MP:0003809,MP:0000854,MP:0000066,MP:0013504,MP:0031018,MP:0000598,MP:0004030,MP:0003786,MP:0030048,MP:0008404,MP:0013292,MP:0002152,MP:0003985,MP:0000427,MP:0012525,MP:0000774,MP:0009794,MP:0004029,MP:0011101,MP:0003141,MP:0001258,MP:0000084,MP:0008410,MP:0013501,MP:0000715,MP:0002182,MP:0002083,MP:0013293,MP:0003402,MP:0001262,MP:0004805,MP:0001131,MP:0004734,MP:0003077,MP:0002175,MP:0000130,MP:0009949	HP:0001249,HP:0001511,HP:0005338,HP:0010583,HP:0011342,HP:0002650,HP:0000501,HP:0000218,HP:0001009,HP:0000363,HP:0002827,HP:0004326,HP:0100543,HP:0001302,HP:0033832,HP:0007495,HP:0012203,HP:0000689,HP:0001807,HP:0000444,HP:0000347,HP:0001763,HP:0001385,HP:0000252,HP:0007380,HP:0001806,HP:0001363,HP:0001852,HP:0006297,HP:0000678,HP:0004322,HP:0000175,HP:0000682,HP:0012182,HP:0000047,HP:0001876,HP:0000275,HP:0006442,HP:0000448,HP:0011065,HP:0000494,HP:0002209,HP:0000340,HP:0010579,HP:0001090,HP:0008665,HP:0000486,HP:0000237,HP:0008404,HP:0003083,HP:0000752,HP:0006434,HP:0001320,HP:0001592,HP:0025127,HP:0008897,HP:0002750,HP:0000878,HP:0000377,HP:0000028,HP:0004209,HP:0000387,HP:0006143,HP:0001382,HP:0003508,HP:0009804,HP:0000369,HP:0011367,HP:0000954,HP:0010230,HP:0003002,HP:0000581,HP:0007048,HP:0002987,HP:0001596,HP:0001883,HP:0000324,HP:0001250,HP:0000670	2659,2054,728,6660,4961,577,4228,2030,623,408,1414,903,5928,5589,3806,1888,2979,3329,2764,5283,2721,3130,2499,4223,5900,2873,1300,2947,97,2543,1419,1066,4033,4398,3771,6342,2686,1199,2639,3158,3443,5039,1831,2716,5664,3602,6159,5650,2592,1428,1863,968,1570,1005,2998,5660,1785,1311,571,341,3190,4340,3618,4667,3009,5847,6059,1968,5405,3222,1760,472,2130,2144,1167,3173,1617,3959,2773,623,1856,2021,1309,2773,6597,1756,3746,6276,4161,5305,6303,6514,3255,5068,1378,4150,1315,438,7021,1462,2691,3221,3033,4531,828,2001,3185,4547,2555,3335,1922,2848	544,1913,579,5016,2235,595,820,4125,1968,586,349,3272,2605,5527,4613,1082,1637,2145,1809,3354,2000,1147,3330,847,4669,361,3629,2801,4930,3203,76,4699,517,441,5526,2787,3232,3389,3152,648,4688,1192,580,3184,5320,3328,1064,2397,2569,2407,3303,2922,3636,1743,3248,3658,3249,1354,5163,1396,3515,3789,5019,1948,2071,3347,5295,4641,354,3389,5422,57,4293,2130,4035,2866,2930,3492,3865	110	78
1201	ATRAID	51374	Atraid	MGI:1918918	MP:0001304		1230		1	
1202	ATRIP	84126	Atrip	MGI:1925349	MP:0003078,MP:0009674,MP:0003727,MP:0000851,MP:0005253,MP:0006149,MP:0030005,MP:0020621,MP:0003019,MP:0005633,MP:0000433,MP:0013278,MP:0008450,MP:0008794,MP:0005621,MP:0002840,MP:0008518,MP:0001262,MP:0011100,MP:0030004,MP:0001325,MP:0003237,MP:0001297,MP:0020596,MP:0006071,MP:0004046,MP:0013292	HP:0000682,HP:0001511,HP:0001249,HP:0002750,HP:0000444,HP:0011342,HP:0002650,HP:0000347,HP:0000275,HP:0004209,HP:0000387,HP:0000501,HP:0001385,HP:0001382,HP:0009804,HP:0000363,HP:0000252,HP:0001363,HP:0001852,HP:0000494,HP:0002209,HP:0004326,HP:0100543,HP:0010579,HP:0004322,HP:0007495	3708,3839,60,3227,1036,3141,643,1756,1164,3426,4340,5561,2602,2321,1911,1909,3051,828,3158,5900,2823,1074,1049,1036,5060,1152,1756	517,1913,544,3249,3354,2235,595,2000,3232,3515,3789,820,3330,1948,3347,586,847,3629,2801,4688,1192,3272,2605,3184,76,1082	25	26
1203	ATRN	8455	Atrn	MGI:1341628	MP:0005409,MP:0010123,MP:0003354,MP:0000849,MP:0001732,MP:0000788,MP:0031391,MP:0002654,MP:0005330,MP:0002083,MP:0005561,MP:0000920,MP:0008025,MP:0001406,MP:0002092,MP:0000846,MP:0000745,MP:0001146,MP:0002106,MP:0002075,MP:0008027,MP:0002064,MP:0010053,MP:0008026,MP:0002590,MP:0000832,MP:0002882,MP:0010025,MP:0002152		1995,3515,2248,411,2686,571,2973,2792,704,3221,2337,1983,5502,3748,1508,4468,3283,2470,1610,4223,2227,2985,1768,3751,2478,1229,1216,2276,3746		29	
1204	ATRNL1	26033	Atrnl1	MGI:2147749	MP:0005330,MP:0011100,MP:0008025		704,3158,5502		3	
