gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
ROCK1	ENST00000399799	327	6.5812e+02	4.9687e-01	3.2751e-05	9000	68	2.3819e+02	2.8549e-01	3360	209	2.2546e+02	9.2700e-01	1.1035e-05	2272	10	5.0368e-06	1073	8.6586e+01	1.0000e+00	1.3906e-24	2.2384e-07	1.1549e-01	8.2700e-01	1.0400e+00	4.5300e-01	5.4500e-01	7.0000e-02	1.9600e-01		8.6159e-01	4.5866e+00	7.6269e+00	1047	0	0	9	3.7214e-05	4.4234e-06	125735	9	0	125744	3.5788e-05	1.6105e-04	6.4045e-05	2.8913e-05	0.0000e+00	0.0000e+00	9.2986e-05	3.6029e-05	0.0000e+00	3.4083e-05	6.1518e-05	2.8909e-05	0.0000e+00	0.0000e+00	9.2392e-05	3.5161e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000067900	2	4062	33	protein_coding	164946	1.0000e+00	7	6.5765e+01	1.0644e-01	NA	18	18526867	18691812
SALL1	ENST00000251020	687	7.4234e+02	9.2546e-01	4.5474e-05	8724	163	2.4176e+02	6.7423e-01	2936	331	3.1954e+02	1.0359e+00	2.3174e-05	2732	2	1.7815e-06	406	3.2105e+01	9.9971e-01	1.9651e-11	2.9478e-04	6.2296e-02	9.4600e-01	1.1350e+00	8.6800e-01	9.8600e-01	2.4000e-02	1.9600e-01		-5.0397e-01	7.2174e-01	4.9235e+00	1048	0	0	6	2.8142e-05	8.2004e-06	125741	7	0	125748	2.7834e-05	9.7420e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6194e-05	4.4760e-05	0.0000e+00	3.2663e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6195e-05	4.3949e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000103449	2	3972	3	protein_coding	15393	9.9467e-01	1	1.9665e+01	5.0851e-02	NA	16	51169886	51185278
ATXN7L3	ENST00000454077	134	2.1952e+02	6.1044e-01	1.3478e-05	2356	9	5.6395e+01	1.5959e-01	639	93	8.5105e+01	1.0928e+00	5.5802e-06	627	1	1.3659e-06	257	2.4223e+01	9.9892e-01	2.2958e-09	1.0795e-03	4.1284e-02	9.2300e-01	1.2980e+00	5.3000e-01	7.0500e-01	1.4000e-02	1.9600e-01		-6.7269e-01	2.0511e+00	4.3724e+00	1049	0	0	2	8.0312e-06	4.0173e-06	124784	2	0	124786	8.0138e-06	8.0138e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7691e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7653e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000087152	2	1062	12	protein_coding	8309	9.5524e-01	2	1.8275e+01	1.0944e-01	NA	17	42269173	42277481
FGD1	ENST00000375135	215	4.1724e+02	5.1529e-01	3.5721e-05	6169	40	1.2970e+02	3.0839e-01	1847	164	1.6985e+02	9.6558e-01	1.4320e-05	2000	2	2.4458e-06	505	3.2050e+01	9.9970e-01	2.0661e-11	3.0091e-04	6.2403e-02	8.5000e-01	1.0990e+00	4.6000e-01	5.7700e-01	2.5000e-02	1.9600e-01		3.5263e-01	3.5183e+00	4.9187e+00	1050	0	0	4	2.7707e-05	1.1081e-05	125679	3	2	125684	1.9891e-05	4.9729e-05	7.8505e-05	3.6547e-05	0.0000e+00	0.0000e+00	6.4037e-05	1.2240e-05	2.2573e-04	0.0000e+00	6.1563e-05	2.8919e-05	0.0000e+00	0.0000e+00	4.6199e-05	8.7942e-06	1.6304e-04	0.0000e+00	protein_coding	ENSG00000102302	2	2883	18	protein_coding	50713	9.7284e-01	2	1.9659e+01	1.0174e-01	NA	X	54471887	54522599
LINGO1	ENST00000355300	242	3.9953e+02	6.0572e-01	2.9060e-05	3945	50	1.3477e+02	3.7101e-01	1410	210	1.9720e+02	1.0649e+00	1.5786e-05	1311	0	8.3207e-07	164	1.5275e+01	9.9413e-01	7.0528e-07	5.8656e-03	0.0000e+00	9.5100e-01	1.1940e+00	5.4400e-01	6.7400e-01	0.0000e+00	1.9600e-01		-7.1655e-01	2.8006e+00	3.6217e+00	1051	0	0	1	4.0284e-06	4.0284e-06	124118	1	0	124119	4.0284e-06	2.0142e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.6567e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.6569e-04	0.0000e+00	protein_coding	ENSG00000169783	2	1860	2	protein_coding	207874	9.5212e-01	0	9.2744e+00	0.0000e+00	NA	15	77905369	78113242
TNFAIP3	ENST00000237289	387	4.7616e+02	8.1275e-01	2.8219e-05	5249	107	1.8973e+02	5.6395e-01	2191	157	1.8378e+02	8.5429e-01	1.1769e-05	1498	2	1.7355e-06	373	3.2203e+01	9.9972e-01	1.7967e-11	2.8414e-04	6.2106e-02	7.4900e-01	9.7500e-01	7.4700e-01	8.8400e-01	2.4000e-02	1.9600e-01		1.5527e+00	1.4520e+00	4.9320e+00	1052	0	0	4	1.9948e-05	7.9568e-06	125742	4	0	125746	1.5905e-05	3.1811e-05	0.0000e+00	5.7860e-05	0.0000e+00	0.0000e+00	9.2507e-05	8.8862e-06	0.0000e+00	0.0000e+00	0.0000e+00	5.7819e-05	0.0000e+00	0.0000e+00	4.6203e-05	8.7897e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000118503	2	2370	8	protein_coding	16099	9.9967e-01	0	2.2679e+01	0.0000e+00	NA	6	138188351	138204449
NUFIP2	ENST00000225388	322	3.5397e+02	9.0967e-01	1.7229e-05	4582	71	1.0263e+02	6.9183e-01	1345	163	1.3315e+02	1.2242e+00	6.7108e-06	1348	1	1.1978e-06	318	2.4206e+01	9.9891e-01	2.3312e-09	1.0863e-03	4.1312e-02	1.0770e+00	1.3940e+00	8.3000e-01	9.9800e-01	1.4000e-02	1.9600e-01		-2.0334e+00	6.0391e-01	4.3708e+00	1053	0	0	4	1.6150e-05	4.1741e-06	125744	4	0	125748	1.5905e-05	3.1810e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.4366e-05	0.0000e+00	2.6847e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	2.6369e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000108256	2	2085	4	protein_coding	38283	9.9209e-01	0	1.4190e+01	0.0000e+00	NA	17	27582854	27621136
RIC8B	ENST00000392839	187	2.8166e+02	6.6391e-01	1.4656e-05	3397	60	1.2243e+02	4.9008e-01	1495	93	1.1067e+02	8.4030e-01	5.9598e-06	1012	1	1.4041e-06	304	2.4215e+01	9.9892e-01	2.3112e-09	1.0825e-03	4.1296e-02	7.1000e-01	9.9800e-01	5.8800e-01	7.4900e-01	1.4000e-02	1.9600e-01		1.3207e+00	2.0044e+00	4.3717e+00	1054	0	0	5	2.4291e-05	8.3827e-06	125730	5	0	125735	1.9883e-05	4.9709e-05	6.1516e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6380e-05	0.0000e+00	7.1286e-05	6.1518e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7583e-05	0.0000e+00	6.5327e-05	protein_coding	ENSG00000111785	1	1560	9	protein_coding	114718	9.9749e-01	0	1.7272e+01	0.0000e+00	NA	12	107168373	107283090
IL1RAPL1	ENST00000378993	140	2.6740e+02	5.2357e-01	2.0151e-05	4572	36	1.2002e+02	2.9995e-01	2089	97	9.6918e+01	1.0008e+00	7.6050e-06	1300	1	1.8172e-06	424	2.4080e+01	9.9886e-01	2.6133e-09	1.1384e-03	4.1528e-02	8.4800e-01	1.1850e+00	4.5500e-01	6.0200e-01	1.4000e-02	1.9700e-01		-6.5702e-03	2.7685e+00	4.3584e+00	1055	0	0	2	1.0931e-05	5.4779e-06	125709	2	0	125711	7.9548e-06	7.9548e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.4508e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7589e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000169306	2	2088	10	protein_coding	1369325	9.9689e-01	0	1.6703e+01	0.0000e+00	NA	X	28605516	29974840
POU2F2	ENST00000526816	160	2.8323e+02	5.6491e-01	1.6889e-05	3064	67	1.5016e+02	4.4619e-01	1531	103	1.2298e+02	8.3756e-01	8.0290e-06	981	1	1.0216e-06	277	2.4022e+01	9.9884e-01	2.7569e-09	1.1637e-03	4.1629e-02	7.1300e-01	9.8700e-01	4.9600e-01	6.4400e-01	1.4000e-02	1.9700e-01		1.4160e+00	2.6020e+00	4.3527e+00	1056	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000028277	2	1437	14	protein_coding	110475	9.7379e-01	1	1.5349e+01	6.5153e-02	NA	19	42590263	42700737
COPS4	ENST00000264389	88	2.1843e+02	4.0287e-01	1.1259e-05	2663	11	6.5172e+01	1.6878e-01	772	90	7.6506e+01	1.1764e+00	3.8852e-06	740	1	1.1839e-06	294	2.4081e+01	9.9886e-01	2.6111e-09	1.1381e-03	4.1526e-02	9.9100e-01	1.4020e+00	3.3800e-01	4.8100e-01	1.4000e-02	1.9700e-01		-1.2127e+00	3.1361e+00	4.3585e+00	1057	0	0	1	4.0043e-06	4.0043e-06	124865	1	0	124866	4.0043e-06	2.0022e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8719e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.8719e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000138663	2	1218	10	protein_coding	41372	9.9770e-01	0	1.7505e+01	0.0000e+00	NA	4	83955600	83996971
DNAJC13	ENST00000260818	945	1.1643e+03	8.1166e-01	5.9080e-05	14770	142	2.5179e+02	5.6396e-01	3274	383	4.0139e+02	9.5418e-01	2.0621e-05	4150	17	6.8788e-06	1625	1.2948e+02	1.0000e+00	3.3523e-34	2.4864e-09	1.3129e-01	8.7700e-01	1.0380e+00	7.6900e-01	8.5600e-01	8.9000e-02	1.9700e-01		7.2156e-01	2.2836e+00	9.1601e+00	1058	0	0	23	1.0537e-04	8.0355e-06	125721	26	0	125747	1.0339e-04	1.3441e-03	2.4896e-04	1.7802e-04	9.9226e-05	1.6327e-04	4.6245e-05	8.9656e-05	0.0000e+00	3.7352e-05	2.4609e-04	1.7347e-04	9.9211e-05	1.6311e-04	4.6195e-05	8.7902e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000138246	2	6729	55	protein_coding	121507	1.0000e+00	8	9.5018e+01	8.4194e-02	NA	3	132136370	132257876
XRN1	ENST00000264951	693	8.6769e+02	7.9867e-01	4.2595e-05	11251	83	1.7371e+02	4.7780e-01	2202	273	2.8897e+02	9.4475e-01	1.3843e-05	3088	12	4.8907e-06	1272	9.8593e+01	1.0000e+00	3.1189e-27	6.7935e-08	1.2171e-01	8.5500e-01	1.0440e+00	7.5000e-01	8.5000e-01	7.7000e-02	1.9700e-01		7.3828e-01	2.1075e+00	8.0813e+00	1059	0	0	22	1.3763e-04	2.3884e-05	125714	33	0	125747	1.3122e-04	2.1653e-03	3.7535e-04	1.7390e-04	0.0000e+00	5.4383e-05	4.6198e-05	1.5139e-04	1.6415e-04	6.6393e-05	3.6916e-04	1.7347e-04	0.0000e+00	5.4367e-05	4.6195e-05	1.4065e-04	1.6288e-04	6.5327e-05	protein_coding	ENSG00000114127	2	5118	42	protein_coding	141456	9.9584e-01	12	6.8830e+01	1.7434e-01	NA	3	142025449	142166904
ANKRD12	ENST00000262126	928	9.7701e+02	9.4984e-01	4.7126e-05	13695	185	3.4152e+02	5.4170e-01	4698	409	3.4642e+02	1.1806e+00	1.6956e-05	3627	9	4.5605e-06	1155	7.9748e+01	1.0000e+00	6.2828e-23	5.5524e-07	1.1286e-01	1.0880e+00	1.2810e+00	8.9900e-01	1.0030e+00	6.7000e-02	1.9700e-01		-2.6428e+00	5.5717e-01	7.3413e+00	1060	0	0	32	1.8484e-04	1.8276e-05	125705	43	0	125748	1.7099e-04	3.6766e-03	1.3603e-04	1.1983e-04	5.1253e-04	1.7500e-04	1.9063e-04	2.0356e-04	1.6329e-04	1.0772e-04	1.2304e-04	1.1564e-04	3.9690e-04	1.6311e-04	1.8479e-04	1.9339e-04	1.6288e-04	9.7993e-05	protein_coding	ENSG00000101745	2	6186	12	protein_coding	149758	9.9999e-01	5	5.3062e+01	9.4230e-02	NA	18	9136226	9285983
PACSIN1	ENST00000538621	140	2.5923e+02	5.4006e-01	1.5078e-05	2936	29	7.8896e+01	3.6757e-01	901	89	1.0326e+02	8.6194e-01	6.6947e-06	770	1	1.0331e-06	285	2.4093e+01	9.9887e-01	2.5823e-09	1.1329e-03	4.1505e-02	7.2500e-01	1.0280e+00	4.7000e-01	6.2100e-01	1.4000e-02	1.9700e-01		1.1028e+00	2.6315e+00	4.3597e+00	1061	0	0	3	1.2000e-05	4.0069e-06	125707	3	0	125710	1.1932e-05	1.7899e-05	6.1584e-05	2.9007e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2684e-05	6.1518e-05	2.8921e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2663e-05	protein_coding	ENSG00000124507	2	1332	9	protein_coding	69091	9.9134e-01	0	1.3947e+01	0.0000e+00	NA	6	34433916	34503006
RAPGEF2	ENST00000264431	532	8.2432e+02	6.4538e-01	4.4250e-05	9877	103	2.6870e+02	3.8332e-01	3432	307	2.9869e+02	1.0278e+00	1.7127e-05	2871	8	4.2652e-06	834	7.3134e+01	1.0000e+00	2.3135e-21	1.2664e-06	1.0939e-01	9.3500e-01	1.1300e+00	6.0000e-01	6.9300e-01	6.3000e-02	1.9700e-01		-3.7790e-01	3.6180e+00	7.0578e+00	1062	0	0	12	4.9008e-05	4.4001e-06	124782	12	0	124794	4.8080e-05	2.8849e-04	0.0000e+00	0.0000e+00	9.9344e-05	1.1125e-04	0.0000e+00	6.2634e-05	1.6507e-04	3.6662e-05	0.0000e+00	0.0000e+00	9.9290e-05	1.1125e-04	0.0000e+00	6.1787e-05	1.6492e-04	3.2678e-05	protein_coding	ENSG00000109756	2	4497	24	protein_coding	255992	1.0000e+00	4	5.2630e+01	7.6002e-02	NA	4	160025330	160281321
ETS2	ENST00000360214	167	2.7299e+02	6.1174e-01	1.6537e-05	3120	39	9.7450e+01	4.0020e-01	1142	107	1.1519e+02	9.2890e-01	8.0335e-06	861	1	1.0316e-06	272	2.4121e+01	9.9888e-01	2.5176e-09	1.1212e-03	4.1457e-02	7.9300e-01	1.0910e+00	5.3800e-01	6.9600e-01	1.4000e-02	1.9700e-01		5.9984e-01	2.2796e+00	4.3625e+00	1063	0	0	4	2.4256e-05	8.1965e-06	125736	6	0	125742	2.3859e-05	7.1577e-05	0.0000e+00	5.7847e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.7122e-05	0.0000e+00	3.3062e-05	0.0000e+00	5.7822e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.6371e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000157557	2	1407	9	protein_coding	19649	9.9335e-01	0	1.4659e+01	0.0000e+00	NA	21	40177231	40196879
HCFC2	ENST00000229330	218	4.2010e+02	5.1892e-01	2.0134e-05	5142	69	1.8777e+02	3.6746e-01	2284	120	1.4798e+02	8.1093e-01	7.0984e-06	1565	3	1.9211e-06	489	3.9175e+01	9.9989e-01	3.5234e-13	1.0901e-04	7.6580e-02	6.9800e-01	9.4400e-01	4.6400e-01	5.8100e-01	3.4000e-02	1.9800e-01		1.8080e+00	3.5040e+00	5.3558e+00	1064	0	0	3	2.4199e-05	1.5980e-05	125715	6	0	125721	2.3863e-05	7.1589e-05	0.0000e+00	0.0000e+00	1.0288e-04	2.1768e-04	0.0000e+00	8.8047e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.9211e-05	2.1749e-04	0.0000e+00	8.7912e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000111727	2	2376	15	protein_coding	40405	9.9447e-01	3	2.8382e+01	1.0570e-01	NA	12	104458235	104498639
PAIP1	ENST00000306846	174	2.1092e+02	8.2495e-01	1.0441e-05	3084	28	6.0300e+01	4.6435e-01	841	85	7.4832e+01	1.1359e+00	3.4463e-06	937	1	1.2791e-06	309	2.4019e+01	9.9884e-01	2.7633e-09	1.1648e-03	4.1634e-02	9.5200e-01	1.3600e+00	7.2800e-01	9.3500e-01	1.4000e-02	1.9800e-01		-9.2398e-01	9.0342e-01	4.3524e+00	1065	0	0	3	1.2151e-05	4.1879e-06	125737	3	0	125740	1.1929e-05	1.7894e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6710e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.6373e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000172239	2	1437	11	protein_coding	31492	9.9428e-01	1	1.9473e+01	5.1354e-02	NA	5	43526369	43557860
LAMC1	ENST00000258341	786	9.2096e+02	8.5345e-01	5.1328e-05	10636	278	3.9214e+02	7.0893e-01	4330	370	3.4761e+02	1.0644e+00	2.0028e-05	3024	9	4.2752e-06	936	7.9470e+01	1.0000e+00	8.0920e-23	6.1603e-07	1.1325e-01	9.7700e-01	1.1600e+00	8.0400e-01	9.0500e-01	6.7000e-02	1.9800e-01		-9.4410e-01	1.5804e+00	7.3252e+00	1066	0	0	17	8.4796e-05	1.6016e-05	125726	21	0	125747	8.3504e-05	8.7683e-04	1.2305e-04	5.7928e-05	0.0000e+00	5.4377e-05	9.5883e-05	8.8206e-05	0.0000e+00	1.4090e-04	1.2304e-04	5.7819e-05	0.0000e+00	5.4367e-05	9.2392e-05	8.7902e-05	0.0000e+00	1.3066e-04	protein_coding	ENSG00000135862	2	4827	28	protein_coding	122133	1.0000e+00	3	5.4060e+01	5.5494e-02	NA	1	182992595	183114727
SSBP3	ENST00000371320	117	2.3591e+02	4.9595e-01	1.3338e-05	2502	41	8.8829e+01	4.6156e-01	929	112	9.5633e+01	1.1711e+00	7.3331e-06	745	2	1.7960e-06	331	3.1877e+01	9.9968e-01	2.4180e-11	3.2098e-04	6.2741e-02	1.0040e+00	1.3700e+00	4.2600e-01	5.7800e-01	2.5000e-02	1.9800e-01		-1.3156e+00	2.7512e+00	4.9036e+00	1067	0	0	2	8.6514e-06	4.6715e-06	125722	2	0	125724	7.9540e-06	7.9540e-06	0.0000e+00	0.0000e+00	0.0000e+00	5.4366e-05	0.0000e+00	1.0403e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	8.7926e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000157216	2	1164	18	protein_coding	188048	9.9976e-01	0	2.3515e+01	0.0000e+00	NA	1	54691105	54879152
NEDD4L	ENST00000400345	308	5.5496e+02	5.5500e-01	3.2148e-05	6380	82	2.4457e+02	3.3528e-01	3058	194	2.0659e+02	9.3904e-01	1.3127e-05	1781	7	3.6304e-06	755	6.6288e+01	1.0000e+00	1.0522e-19	3.1498e-06	1.0560e-01	8.3500e-01	1.0580e+00	5.0500e-01	6.1000e-01	5.9000e-02	1.9800e-01		6.8872e-01	3.7252e+00	6.7479e+00	1068	0	0	9	7.2726e-05	3.2153e-05	124638	18	0	124656	7.2201e-05	6.4984e-04	1.2960e-04	2.6078e-04	0.0000e+00	5.5630e-05	4.6408e-05	3.6307e-05	0.0000e+00	3.3483e-05	1.2914e-04	2.6069e-04	0.0000e+00	5.5625e-05	4.6409e-05	3.5384e-05	0.0000e+00	3.2678e-05	protein_coding	ENSG00000049759	2	2925	31	protein_coding	357174	9.9997e-01	3	4.2063e+01	7.1322e-02	NA	18	55711599	56068772
KIAA0368	ENST00000259335	837	9.9365e+02	8.4235e-01	5.1529e-05	12937	191	3.1868e+02	5.9935e-01	4020	364	3.6359e+02	1.0011e+00	1.9153e-05	3984	15	6.5954e-06	1415	1.1664e+02	1.0000e+00	3.2069e-31	1.1208e-08	1.2860e-01	9.1800e-01	1.0920e+00	7.9500e-01	8.9200e-01	8.5000e-02	1.9800e-01		-1.6949e-02	1.7659e+00	8.7208e+00	1069	0	0	16	6.9894e-05	8.1161e-06	124650	16	0	124666	6.4174e-05	5.1340e-04	1.3569e-04	5.8434e-05	0.0000e+00	0.0000e+00	4.6464e-05	1.0913e-04	0.0000e+00	0.0000e+00	1.2911e-04	5.7922e-05	0.0000e+00	0.0000e+00	4.6392e-05	9.7319e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000136813	3	6051	51	protein_coding	124054	1.0000e+00	9	8.5233e+01	1.0559e-01	NA	9	114122972	114247025
PDGFC	ENST00000502773	139	1.8377e+02	7.5638e-01	8.8706e-06	2254	38	7.5146e+01	5.0568e-01	885	66	6.9425e+01	9.5067e-01	3.6325e-06	665	0	7.0133e-07	190	1.5100e+01	9.9374e-01	8.2663e-07	6.2592e-03	0.0000e+00	7.7900e-01	1.1670e+00	6.5800e-01	8.7100e-01	0.0000e+00	1.9800e-01		3.2309e-01	1.1736e+00	3.6009e+00	1070	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000145431	2	1035	6	protein_coding	210941	9.6906e-01	0	1.0486e+01	0.0000e+00	NA	4	157681606	157892546
KIAA2022	ENST00000055682	464	5.4781e+02	8.4701e-01	3.9128e-05	10137	101	1.8561e+02	5.4416e-01	3521	214	2.0693e+02	1.0342e+00	1.4692e-05	2866	2	2.5136e-06	619	3.1876e+01	9.9968e-01	2.4199e-11	3.2108e-04	6.2743e-02	9.2400e-01	1.1580e+00	7.8400e-01	9.1500e-01	2.5000e-02	1.9800e-01		-3.8650e-01	1.2725e+00	4.9036e+00	1071	0	0	4	3.8216e-05	2.1843e-05	125687	5	2	125694	2.7846e-05	9.7462e-05	0.0000e+00	1.4598e-04	0.0000e+00	7.2192e-05	0.0000e+00	1.2233e-05	0.0000e+00	5.2422e-05	0.0000e+00	1.1567e-04	0.0000e+00	5.4367e-05	0.0000e+00	8.7962e-06	0.0000e+00	3.2665e-05	protein_coding	ENSG00000050030	2	4548	3	protein_coding	192599	9.5054e-01	2	1.7995e+01	1.1114e-01	NA	X	73952684	74145282
IPO13	ENST00000372343	312	5.4021e+02	5.7756e-01	3.0784e-05	6270	27	7.7080e+01	3.5029e-01	948	178	2.1842e+02	8.1494e-01	1.1939e-05	1951	5	2.9038e-06	536	5.2987e+01	9.9998e-01	1.5251e-16	1.6839e-05	9.4362e-02	7.2000e-01	9.2300e-01	5.2600e-01	6.3400e-01	4.8000e-02	1.9800e-01		2.1500e+00	3.4891e+00	6.1089e+00	1072	0	0	10	5.9740e-05	1.5927e-05	125733	15	0	125748	5.9645e-05	4.4735e-04	0.0000e+00	2.8922e-05	0.0000e+00	0.0000e+00	9.2434e-05	9.6938e-05	0.0000e+00	3.2665e-05	0.0000e+00	2.8909e-05	0.0000e+00	0.0000e+00	9.2392e-05	9.6691e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000117408	2	2889	20	protein_coding	21084	9.7244e-01	6	3.7257e+01	1.6105e-01	NA	1	44412611	44433694
PSMA5	ENST00000271308	37	1.2548e+02	2.9486e-01	5.6056e-06	1583	7	5.3671e+01	1.3043e-01	669	43	4.3158e+01	9.9635e-01	2.0085e-06	451	0	7.0786e-07	180	1.5110e+01	9.9376e-01	8.1899e-07	6.2355e-03	0.0000e+00	7.8000e-01	1.2850e+00	2.2600e-01	3.8800e-01	0.0000e+00	1.9800e-01		1.8874e-02	2.8070e+00	3.6021e+00	1073	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000143106	2	723	9	protein_coding	27410	9.7426e-01	0	1.0990e+01	0.0000e+00	NA	1	109941653	109969062
YY1	ENST00000262238	97	2.4177e+02	4.0120e-01	1.1945e-05	2707	6	5.9651e+01	1.0059e-01	696	121	1.0117e+02	1.1960e+00	5.4781e-06	797	0	8.2380e-07	187	1.5126e+01	9.9380e-01	8.0726e-07	6.1988e-03	0.0000e+00	1.0310e+00	1.3910e+00	3.3900e-01	4.7500e-01	0.0000e+00	1.9800e-01		-1.5499e+00	3.3086e+00	3.6040e+00	1074	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000100811	2	1242	5	protein_coding	44495	9.6783e-01	0	1.0378e+01	0.0000e+00	NA	14	100704635	100749129
