gene_name	ihs
AC099805.1	1.323
AC099850.1	1.864
AC100767.1	1.317
AC100791.1	2.248
AC100791.2	0.556
AC100802.3	2.131
AC100817.1	2.276
AC100830.3	2.4
AC100830.4	1.761
AC100830.5	-1.213
AC100832.1	
AC100848.1	1.97
AC100852.1	
AC102948.2	5.578
AC102953.4	0.642
AC102953.6	1.363
AC103563.2	
AC103563.3	
AC103563.4	
AC103563.5	
AC103563.6	
AC103563.7	
AC103563.8	
AC103563.9	
AC103564.6	
AC103801.1	-0.918
AC103801.2	0.58
AC103809.1	0.869
AC103809.2	1.262
AC103828.1	0.264
AC103863.1	
AC103881.1	2.189
AC103965.1	0.36
AC103974.1	1.429
AC104024.1	1.245
AC104024.2	1.917
AC104037.1	1.846
AC104057.1	0.596
AC104058.1	1.636
AC104076.2	2.903
AC104076.3	0.026
AC104088.1	3.606
AC104113.3	
AC104131.1	0.551
AC104133.1	4.021
AC104134.2	3.883
AC104135.2	0.996
AC104135.3	2.19
AC104135.4	1.672
AC104169.1	2.06
AC104183.1	3.418
AC104297.1	
AC104304.1	1.137
AC104306.1	1.115
AC104306.2	1.195
AC104306.4	2.454
AC104308.2	2.118
AC104331.1	2.431
AC104387.1	
AC104389.16	1.929
AC104389.28	3.096
AC104389.31	1.384
AC104389.32	1.457
AC104395.1	1.859
AC104395.2	0.023
AC104417.1	3.399
AC104434.1	2.26
AC104438.1	0.421
AC104441.1	4.948
AC104458.1	2.444
AC104472.1	0.702
AC104532.2	2.327
AC104532.3	-0.52
AC104532.4	2.327
AC104534.3	2.473
AC104600.1	1.14
AC104623.2	1.826
AC104637.1	2.751
AC104651.1	1.011
AC104651.2	0.024
AC104651.3	-0.531
AC104653.1	1.853
AC104654.1	2.337
AC104654.2	1.871
AC104655.2	1.578
AC104655.3	1.969
AC104667.3	1.346
AC104687.1	1.935
AC104695.3	1.583
AC104695.4	2.079
AC104697.1	5.729
AC104698.1	0.91
AC104698.2	2.237
AC104699.1	1.263
AC104772.1	0.584
AC104777.1	2.536
AC104777.2	4.743
AC104777.3	0.178
AC104777.4	2.521
AC104781.1	0.759
AC104782.3	1.711
AC104794.4	1.364
AC104801.1	3.261
AC104802.1	1.792
AC104809.2	2.031
AC104809.3	2.313
AC104809.4	1.815
AC104820.2	2.67
AC104837.1	1.973
AC104841.1	-2.277
AC104841.2	-0.09
AC104843.3	2.574
AC104843.4	2.804
AC104978.1	
AC104984.4	0.413
AC104986.1	
AC105020.1	1.323
AC105036.1	-0.962
AC105049.1	1.708
AC105053.3	5.072
AC105053.4	0.706
AC105081.1	1.922
AC105105.1	2.243
AC105206.1	0.201
AC105227.1	1.742
AC105242.1	2.13
AC105245.1	5.717
AC105247.1	
AC105252.1	4.566
AC105253.1	3.802
AC105316.1	
AC105339.1	0.926
AC105339.2	-0.18
AC105342.1	2.453
AC105344.2	2.106
AC105393.1	3.687
AC105393.2	2.354
AC105398.1	1.473
AC105398.3	1.602
AC105399.2	2.257
AC105402.2	
AC105402.3	
AC105402.4	
AC105443.2	3.284
AC105461.1	1.586
AC105760.2	2.713
AC105760.3	1.655
AC105761.1	1.989
AC105914.1	-0.471
AC105921.5	
AC105941.1	
AC106053.1	3.331
AC106706.1	1.438
AC106732.1	1.979
AC106736.1	1.599
AC106771.1	0.867
AC106782.20	4.077
AC106786.1	1.528
AC106795.1	0.79
AC106801.1	1.031
AC106827.1	0.479
AC106827.2	1.852
AC106860.1	2.724
AC106869.2	1.92
AC106870.1	0.489
AC106870.2	1.448
AC106873.4	-1.82
AC106874.1	2.464
AC106874.3	
AC106875.1	2.041
AC106876.2	1.335
AC106878.1	1.093
AC106883.1	1.963
AC106900.6	1.161
AC106901.1	2.7
AC107016.1	2.401
AC107021.1	1.062
AC107025.1	1.645
AC107057.1	4.006
AC107057.2	6.669
AC107070.1	2.784
AC107072.2	0.947
AC107079.1	2.469
AC107081.5	1.279
AC107083.1	-0.611
AC107218.3	5.774
AC107399.1	1.948
AC107399.2	1.477
AC107613.1	1.335
AC107622.1	1.575
AC107993.1	0.608
AC108004.2	3.701
AC108004.3	
AC108004.5	
AC108025.2	1.711
AC108039.1	2.68
AC108039.3	1.841
AC108051.1	1.974
AC108051.2	1.154
AC108051.3	1.474
AC108056.1	2.46
AC108057.1	2.187
AC108059.1	1.019
AC108059.2	-0.413
AC108059.4	-0.364
AC108066.1	0.697
AC108078.1	0.718
AC108105.1	3.016
AC108137.1	0.874
AC108142.1	2.862
AC108211.1	2.633
AC108448.2	0.904
AC108448.3	2.055
AC108462.1	0.607
AC108463.1	2.027
AC108463.2	0.951
AC108488.3	1.428
AC108488.4	0.686
AC108676.1	2.125
AC108683.1	3.227
AC108696.1	2.684
AC108697.1	2.805
AC108721.1	2.782
AC108721.2	0.312
AC108739.1	4.67
AC108865.1	5.043
AC108868.1	1.764
AC108868.3	1.508
AC108868.6	1.99
AC109333.10	
AC109351.1	2.527
AC109583.1	2.153
AC109589.1	1.247
AC109631.1	1.093
AC109638.1	2.053
AC109642.1	5.55
AC109815.2	2.524
AC109826.1	1.837
AC109828.1	0.885
AC109829.1	1.635
AC109925.1	1.93
AC109994.1	-0.488
AC110056.1	1.81
AC110084.1	1.282
AC110086.1	1.421
AC110299.5	1.026
AC110611.1	2.262
AC110615.1	0.712
AC110619.1	1.16
AC110619.2	1.16
AC110620.1	
AC110620.2	2.962
AC110754.3	2.377
AC110769.1	-0.042
AC110769.3	1.461
AC110771.1	2.074
AC110781.3	1.62
AC110794.1	1.504
AC110810.1	2.849
AC110926.4	3.209
AC111155.1	
AC111186.1	3.659
AC111194.1	2.593
AC111200.1	
AC111200.2	
AC112198.1	6.141
AC112200.1	1.281
AC112205.1	1.294
AC112211.3	0.122
AC112219.1	2.407
AC112220.2	1.736
AC112229.6	2.222
AC112504.1	-0.57
AC112518.3	2.205
AC112693.1	2.037
AC112693.2	3.031
AC112715.2	2.125
AC112721.1	1.884
AC112721.2	4.105
AC112778.1	1.976
AC113167.1	1.261
AC113167.2	2.052
AC113171.1	
AC113189.5	0.199
AC113195.1	3.208
AC113208.1	5.481
AC113331.9	0.878
AC113342.1	
AC113607.1	3.2
AC113607.2	1.586
AC113607.3	2.37
AC113608.1	4.626
AC113610.1	1.465
AC113617.1	1.593
AC113618.1	3.344
AC114296.1	0.578
AC114494.1	1.5
AC114546.1	1.6
AC114730.11	1.067
AC114730.2	
AC114730.3	1.813
AC114730.5	1.196
AC114730.7	-0.172
AC114730.8	1.33
AC114752.1	1.513
AC114752.2	1.544
AC114752.3	1.007
AC114755.2	1.901
AC114755.3	1.913
AC114755.4	1.005
AC114760.1	-0.336
AC114763.1	1.412
AC114765.1	3.149
AC114765.2	3.149
AC114776.3	2.1
AC114783.1	2.678
AC114788.1	1.609
AC114788.2	2.328
AC114798.1	1.798
AC114803.3	2.389
AC114808.2	2.118
AC114808.3	0.795
AC114812.10	1.16
AC114812.5	-0.137
AC114812.8	1.197
AC114812.9	1.398
AC114813.1	2.508
AC114814.2	5.288
AC114814.3	2.589
AC114814.4	2.285
AC114877.1	5.54
AC114877.3	1.207
AC114969.1	
AC114973.1	2.815
AC115115.2	0.415
AC115115.3	-0.605
AC115115.4	1.037
AC115283.1	2.347
AC115522.3	1.396
AC115617.2	
AC115618.1	0.965
AC116035.1	2.973
AC116035.2	1.776
AC116038.2	0.941
AC116050.1	
AC116345.1	2.21
AC116351.1	1.315
AC116351.2	2.251
AC116366.5	1.098
AC116366.6	0.588
AC116407.1	0.63
AC116407.2	-0.009
AC116533.1	1.545
AC116533.2	1.381
AC116606.1	1.92
AC116609.1	0.745
AC116609.2	1.605
AC116609.3	1.924
AC116614.1	0.884
AC117401.1	2.506
AC117444.1	1.422
AC117479.1	1.665
AC117481.1	1.891
AC117490.2	1.348
AC117834.1	1.228
AC117947.1	0.483
AC118063.1	-0.646
AC118138.2	-0.409
AC118344.1	
AC118345.1	1.794
AC118345.2	1.464
AC118463.1	
AC118653.2	2.789
AC118754.4	0.984
AC119403.1	2.303
AC119673.1	0.056
AC119674.1	1.992
AC120120.1	
AC120194.1	0.709
AC121251.1	1.186
AC121336.1	
AC121757.1	0.506
AC122129.1	0.815
AC122136.1	2.895
AC122136.2	1.833
AC122714.1	1.959
AC122720.1	4.062
AC123023.1	1.554
AC123767.1	0.354
AC123900.2	0.01
AC124057.5	2.899
AC124309.1	-1.29
AC124789.1	0.944
AC124853.1	1.618
AC124861.1	1.666
AC124861.2	5.486
AC124890.1	1.01
AC124914.3	
AC124944.4	2.144
AC124944.5	2.334
AC124997.1	3.546
AC125232.1	
AC125238.2	1.336
AC125238.3	1.189
AC125387.1	
AC125421.1	3.141
AC126177.1	1.308
AC126182.1	2.394
AC126365.1	2.996
AC126614.1	0.109
AC126763.1	2.171
AC127383.1	1.752
AC127391.3	
AC127496.1	1.333
AC127904.2	-0.564
AC128653.1	3.3
AC128709.1	1.659
AC128709.2	2.21
AC128709.3	2.696
AC128709.4	1.409
AC129492.6	0.766
AC130360.8	
AC130462.1	
AC130464.1	2.049
AC130469.2	0.547
AC130689.1	0.364
AC130689.5	0.768
AC130710.1	2.897
AC131012.1	-1.561
AC131025.8	1.785
AC131056.6	2.595
AC131094.1	1.659
AC131213.1	1.971
AC131254.1	
AC131568.1	-0.928
AC131571.1	
AC131571.2	
AC131935.1	5.301
AC131971.1	2.054
AC132008.1	
AC132186.1	0.772
AC132192.1	0.2
AC132216.1	1.088
AC132217.4	0.285
AC132479.4	
AC132660.1	1.275
AC132803.1	1.584
AC132807.1	0.594
AC132872.1	0.377
AC132872.2	-0.103
AC133106.2	2.789
AC133141.1	
AC133528.2	2.337
AC133633.1	2.637
AC133633.2	3.674
AC133644.3	
AC133680.1	3.974
AC133749.1	0.647
AC133785.1	2.265
AC133965.1	
AC134025.1	
AC134300.1	1.981
AC134698.1	
AC134729.1	1.612
AC135048.1	0.798
AC135048.13	1.158
AC135050.5	0.678
AC135178.1	2.047
AC135999.2	
AC136188.1	1.866
AC136289.1	2.167
AC136297.1	-0.029
AC136365.1	
AC136604.1	1.59
AC136896.1	0.645
AC137056.1	1.882
AC137527.2	3.774
AC137674.1	2.22
AC137674.2	1.786
AC137675.1	2.523
AC137723.5	0.825
AC137932.1	1.74
AC137932.5	0.465
AC137932.6	1.165
AC138123.1	0.528
AC138430.4	2.893
AC138472.4	
AC138472.6	1.046
AC138517.1	1.583
AC138517.4	2.073
AC138517.5	1.013
AC138623.1	4.186
AC138647.1	3.553
AC138655.1	3.043
AC138655.4	1.368
AC138655.6	1.64
AC138710.1	
AC138744.2	3.4
AC138761.1	
AC138783.11	2.24
AC138965.1	2.525
AC138969.4	
AC139085.1	3.534
AC139085.2	1.656
AC139099.4	
AC139100.2	1.328
AC139100.3	0.458
AC139451.1	0.72
AC139452.2	2.203
AC139453.1	1.534
AC139530.1	1.089
AC139712.1	2.035
AC139712.2	1.644
AC139712.4	3.969
AC139768.1	1.094
AC139887.4	1.212
AC139931.1	3.561
AC140061.1	0.89
AC140061.10	-0.375
AC140061.11	0.928
AC140061.12	-0.096
AC140061.2	0.924
AC140061.3	-0.397
AC140061.4	-0.325
AC140061.5	0.922
AC140061.6	
AC140061.7	0.989
AC140061.9	
AC140479.1	2.229
AC140481.1	
AC140481.7	
AC140481.9	1.109
AC140542.2	1.476
AC140912.1	2.671
AC141586.5	1.163
AC141928.1	4.086
AC141930.2	3.69
AC142119.1	
AC142293.3	2.579
AC142528.1	2.251
AC143336.1	
AC144449.1	2.122
AC144450.1	4.785
AC144450.2	
AC144521.1	4.716
AC144525.1	
AC144530.1	
AC144568.2	2.078
AC144573.1	0.73
AC144652.1	2.68
AC144833.1	1.369
AC144835.1	1.833
AC144836.1	5.14
AC145110.1	2.518
AC145123.2	1.887
AC145436.1	
AC145676.2	
AC147651.1	
AC147651.2	
AC147651.3	1.966
AC147651.4	2.038
AC147651.5	1.689
AC151960.1	0.753
AC152005.1	0.734
AC152010.1	2.387
AC156455.1	2.323
AC174470.1	1.319
AC195454.1	2.304
AC226150.3	1.195
AC226150.4	0.717
AC231656.1	2.703
AC233263.2	
ACA59	4.63
ACA64	2.119
ACAA1	1.864
ACAA2	1.302
ACACA	3.441
ACACB	3.262
ACAD10	2.295
ACAD11	1.662
ACAD8	1.109
ACAD9	1.029
ACADL	1.074
ACADM	1.704
ACADS	1.417
ACADSB	1.53
ACADVL	1.168
ACAN	3.173
ACAP1	0.776
ACAP2	4.036
ACAP2-IT1	1.139
ACAP3	3.307
ACAT1	1.242
ACAT2	1.86
ACBD3	2.004
ACBD4	0.601
ACBD5	1.326
ACBD6	3.739
ACBD7	2.377
ACCS	2.018
ACCSL	4.193
ACD	2.533
ACE	2.58
ACE2	1.609
ACE3P	1.078
ACER1	2.786
ACER2	3.561
ACER3	3.322
ACHE	1.442
ACIN1	4.562
ACKR2	1.752
ACKR3	4.568
ACKR4	0.713
ACLY	2.946
ACMSD	4.859
ACN9	1.391
ACO1	1.946
ACO2	1.603
ACOT11	1.621
ACOT12	2.011
ACOT13	1.171
ACOT2	2.742
ACOT4	1.887
ACOT6	1.897
ACOT7	5.028
ACOT8	2.125
ACOT9	1.748
ACOX1	2.455
ACOX2	1.655
ACOX3	2.831
ACOXL	2.63
ACP1	1.663
ACP2	1.24
ACP5	
ACP6	2.203
ACPL2	3.186
ACPP	2.283
ACR	1.325
ACRBP	1.276
ACRC	1.703
ACRV1	5.08
ACSBG1	2.231
ACSBG2	2.799
ACSF2	4.3
ACSF3	3.25
ACSL1	3.008
ACSL3	5.628
ACSL4	1.491
ACSL5	1.805
ACSL6	4.663
ACSM1	2.532
ACSM2A	4.964
ACSM2B	4.654
ACSM3	4.018
ACSM4	2.035
ACSM5	4.776
ACSS1	2.062
ACSS2	1.765
ACSS3	2.512
ACTA1	0.617
ACTA2	1.246
ACTA2-AS1	2.174
ACTB	2.663
ACTBL2	0.384
ACTBP1	1.656
ACTBP12	
ACTBP13	1.489
ACTBP14	2.669
ACTBP2	0.903
ACTBP6	1.195
ACTBP7	0.119
ACTBP8	2.397
ACTBP9	1.458
ACTC1	1.332
ACTG1	2.04
ACTG1P1	1.263
ACTG1P10	
ACTG1P13	3.326
ACTG1P3	
ACTG1P4	
ACTG1P9	2.312
ACTG2	2.225
ACTL10	-0.115
ACTL6A	1.612
ACTL6B	3.665
ACTL7A	1.365
ACTL7B	2.053
ACTL8	2.134
ACTL9	1.718
ACTN1	2.669
ACTN1-AS1	1.242
ACTN2	3.154
ACTN3	1.676
ACTN4	2.569
ACTN4P1	4.744
ACTN4P2	0.538
ACTR10	0.867
ACTR1A	2.751
ACTR2	1.99
ACTR3	4.706
ACTR3B	5.022
ACTR3BP2	
ACTR3BP3	
ACTR3BP4	-1.447
ACTR3BP5	
ACTR3BP6	3.149
ACTR3C	3.27
ACTR3P2	0.748
ACTR3P3	2.254
ACTR5	1.633
ACTR6	2.334
ACTR6P1	4.364
ACTR8	1.012
ACTRT1	3.218
ACTRT2	2.97
ACTRT3	0.976
ACVR1	4.298
ACVR1B	1.758
ACVR1C	5.386
ACVR2A	1.836
ACVR2B	2.819
ACVR2B-AS1	1.173
ACVRL1	1.706
ACY1	1.069
ACY3	1.529
ACYP1	1.39
ACYP2	2.566
AD000090.2	-0.032
AD000092.3	-0.139
AD000671.6	2.305
AD000684.2	1.981
ADA	2.922
ADAD1	3.307
ADAD1P2	
ADAD2	2.758
ADAL	2.414
ADAM10	3.105
ADAM11	1.153
ADAM12	5.881
ADAM15	1.248
ADAM17	4.031
ADAM18	2.237
ADAM19	2.653
ADAM1A	1.653
ADAM2	2.184
ADAM20	1.559
ADAM20P1	1.551
ADAM20P2	1.907
ADAM20P3	5.849
ADAM21	1.622
ADAM21P1	1.649
ADAM22	2.558
ADAM23	2.405
ADAM24P	4.691
ADAM28	2.516
ADAM29	3.226
ADAM30	
ADAM32	1.944
ADAM33	2.978
ADAM3A	2.287
ADAM3B	0.403
ADAM5	3.762
ADAM7	2.224
ADAM8	2.381
ADAM9	2.344
ADAMDEC1	3.092
ADAMTS1	3.13
ADAMTS10	2.626
ADAMTS12	4.898
ADAMTS13	1.23
ADAMTS14	3.806
ADAMTS15	
ADAMTS16	3.146
ADAMTS17	3.529
ADAMTS18	3.237
ADAMTS19	3.381
ADAMTS19-AS1	1.411
ADAMTS2	3.063
ADAMTS20	3.275
ADAMTS3	4.9
ADAMTS4	2.149
ADAMTS5	2.745
ADAMTS6	1.715
ADAMTS7	1.866
ADAMTS8	3.951
ADAMTS9	2.666
ADAMTS9-AS1	2.666
ADAMTS9-AS2	2.764
ADAMTSL1	3.266
ADAMTSL2	2.207
ADAMTSL3	2.402
ADAMTSL4	1.888
ADAMTSL4-AS1	0.074
ADAMTSL5	1.436
ADAP1	3.345
ADAP2	1.825
ADAR	1.122
ADARB1	3.987
ADARB2	5.036
ADARB2-AS1	3.421
ADAT1	1.799
ADAT2	1.961
ADC	2.692
ADCK1	4.722
ADCK2	2.28
ADCK3	2.839
ADCK4	2.228
ADCK5	0.978
ADCY1	2.613
ADCY10	4.584
ADCY10P1	1.713
ADCY2	2.719
ADCY3	2.366
ADCY4	2.25
ADCY5	3.779
ADCY6	3.384
ADCY7	2.067
ADCY8	2.697
ADCY9	3.122
ADCYAP1	1.663
ADCYAP1R1	3.268
ADD1	3.734
ADD2	2.177
ADD3	2.761
ADGB	5.016
ADH1A	1.642
ADH1B	2.217
ADH1C	1.931
ADH4	2.049
ADH5	1.9
ADH5P2	3.025
ADH5P3	1.506
ADH5P4	2.018
ADH6	0.673
ADH7	2.257
ADHFE1	1.686
ADI1	2.196
ADIG	2.738
ADIPOQ	1.831
ADIPOQ-AS1	0.562
ADIPOR1	1.627
ADIPOR1P1	2.563
ADIPOR1P2	1.449
ADIPOR2	3.202
ADIRF	1.477
ADIRF-AS1	1.677
ADK	2.37
ADM	1.222
ADM2	1.079
ADM5	1.253
ADNP	2.845
ADNP2	1.031
ADO	2.238
ADORA1	1.856
ADORA2A	0.951
ADORA2A-AS1	1.473
ADORA2B	1.452
ADORA2BP	1.94
ADORA3	2.496
ADPGK	1.386
ADPGK-AS1	1.386
ADPRH	2.073
ADPRHL1	3.303
ADPRHL2	1.591
ADPRM	1.107
ADRA1A	3.927
ADRA1B	2.907
ADRA1D	2.327
ADRA2A	2.54
ADRA2B	1.451
ADRA2C	7.274
ADRB1	2.806
ADRB2	1.954
ADRB3	1.329
ADRBK1	1.995
ADRBK2	5.842
ADRM1	1.837
ADSL	3.003
ADSS	4.134
ADSSL1	1.532
ADTRP	2.493
AE000658.22	0.635
AE000658.25	2.458
AE000658.27	1.669
AE000658.30	1.3
AE000658.31	1.924
AE000659.1	3.019
AE000660.1	2.454
AE000661.36	1.328
AE000661.37	3.9
AE000661.50	0.243
AE000662.92	2.438
AE000662.93	0.779
AEBP1	1.703
AEBP2	3.7
AEN	1.971
AES	2.379
AF001548.5	2.119
AF001548.6	
AF001550.7	0.727
AF003529.2	1.762
AF003625.3	3.528
AF003626.1	4.276
AF011889.2	1.298
AF013593.1	2.141
AF015262.2	0.801
AF015720.3	0.972
AF038458.3	1.564
AF038458.4	
AF038458.5	1.128
AF064858.10	2.042
AF064858.11	2.763
AF064858.6	2.791
AF064858.7	2.707
AF064858.8	3.009
AF064860.5	4.597
AF064860.7	1.178
AF067845.1	3.431
AF096876.1	5.679
AF104455.1	2.75
AF121897.4	1.872
AF121898.1	1.006
AF121898.2	
AF121898.3	3.17
AF124730.4	1.237
AF127577.10	0.638
AF127577.11	1.161
AF127577.12	3.754
AF127577.8	4.055
AF127936.3	3.685
AF127936.5	1.427
AF127936.7	0.876
AF129075.5	0.435
AF129408.17	
AF131215.1	1.762
AF131215.2	1.217
AF131215.3	0.604
AF131215.4	0.878
AF131215.5	0.688
AF131215.6	0.823
AF131215.8	2.293
AF131215.9	1.465
AF131216.5	1.83
AF131216.6	1.94
AF131217.1	3.267
AF146191.4	3.51
AF165138.7	3.189
AF178030.2	1.483
AF186192.1	0.253
AF186192.5	1.971
AF186192.6	1.723
AF196779.1	0.234
AF196779.12	0.208
AF196970.3	1.257
AF196972.9	1.842
AF207550.1	
AF212831.2	2.897
AF213884.1	2.455
AF213884.2	2.848
AF216667.1	1.983
AF224669.3	
AF230666.2	0.661
AF235103.1	0.222
AF238380.8	0.248
AF240627.2	2.126
AF241725.1	2.142
AF241725.4	4.633
AF241725.6	1.683
AF241726.2	
AF241726.4	0.922
AF277315.13	
AF277315.19	1.365
AFAP1	3.153
AFAP1-AS1	2.367
AFAP1L1	1.969
AFAP1L2	5.402
AFF1	1.571
AFF2	3.423
AFF3	2.197
AFF4	2.756
AFG3L1P	1.987
AFG3L2	1.827
AFG3L2P1	2.794
AFM	1.532
AFMID	2.4
AFP	2.086
AFTPH	1.919
AGA	3.351
AGAP1	3.55
AGAP1-IT1	1.13
AGAP11	1.675
AGAP2	2.404
AGAP2-AS1	0.253
AGAP3	2.481
AGAP5	2.574
AGAP6	
AGAP8	
AGBL1	3.482
AGBL1-AS1	1.362
AGBL2	3.092
AGBL3	2.673
AGBL4	3.955
AGBL4-IT1	1.721
AGBL5	1.52
AGBL5-AS1	-0.132
AGBL5-IT1	
AGER	2.918
AGFG1	6.005
AGFG2	1.81
AGGF1	1.229
AGGF1P3	0.701
AGK	4.245
AGL	2.536
AGMAT	1.948
AGMO	3.214
AGO1	2.333
AGO2	3.574
AGO3	2.989
AGO4	2.005
AGPAT1	2.333
AGPAT2	1.504
AGPAT3	1.834
AGPAT4	3.587
AGPAT5	3.853
AGPAT6	1.468
AGPAT9	1.58
AGPS	2.554
AGR2	6.193
AGR3	1.566
AGRN	3.778
AGRP	1.389
AGT	2.649
AGTPBP1	2.461
AGTR1	3.169
AGTR2	2.535
AGTRAP	2.992
AGXT	2.121
AGXT2	2.008
AHCTF1	3.567
AHCTF1P1	
AHCY	2.596
AHCYL1	2.981
AHCYL2	2.537
AHCYP2	2.259
AHCYP3	3.944
AHCYP4	2.674
AHCYP5	1.237
AHCYP7	1.734
AHDC1	1.457
AHI1	2.064
AHNAK	2.662
AHNAK2	2.501
AHR	1.059
AHRR	3.6
AHSA1	2.717
AHSA2	-0.043
AHSG	2.057
AHSP	1.922
AICDA	
AIDA	1.949
AIF1	-0.306
AIF1L	2.33
AIFM1	4.717
AIFM1P1	1.23
AIFM2	2.921
AIFM3	1.382
AIG1	3.116
AIG1P1	
AIM1	2.652
AIM1L	1.613
AIM2	3.2
AIMP1	1.109
AIMP1P1	
AIMP2	2.084
AIP	1.207
AIPL1	2.967
AIRE	2.478
AIRN	1.289
AJ003147.8	1.417
AJ003147.9	5.42
AJ006995.3	
AJ006998.2	2.745
AJ009632.3	2.057
AJ239321.3	
AJ239322.1	
AJ239322.3	
AJAP1	2.573
AJUBA	1.425
AK1	2.187
AK2	2.277
AK2P2	1.713
AK3	2.551
AK3P3	1.077
AK3P4	2.449
AK3P5	0.159
AK4	6.681
AK4P2	1.975
AK4P3	1.143
AK4P4	1.799
AK4P5	1.957
AK4P6	2.894
AK5	3.488
AK7	1.644
AK8	2.463
AK9	4.788
AKAP1	2.32
AKAP10	1.886
AKAP11	2.742
AKAP12	3.447
AKAP13	3.5
AKAP14	1.595
AKAP16BP	1.664
AKAP2	3.37
AKAP3	2.481
AKAP4	1.157
AKAP5	5.131
AKAP6	4.769
AKAP7	2.658
AKAP8	2.357
AKAP8L	4.329
AKAP9	1.068
AKIP1	1.951
AKIRIN1	1.909
AKIRIN2	2.82
AKNA	1.672
AKNAD1	3.662
AKR1A1	1.966
AKR1B1	1.609
AKR1B10	2.059
AKR1B10P1	2.332
AKR1B10P2	2.484
AKR1B15	1.762
AKR1B1P1	1.621
AKR1B1P2	1.102
AKR1B1P4	1.938
AKR1B1P6	2.482
AKR1B1P7	1.791
AKR1B1P8	1.73
AKR1C1	5.368
AKR1C2	3.178
AKR1C3	2.997
AKR1C4	1.736
AKR1C5P	1.751
AKR1C6P	2.189
AKR1C7P	2.528
AKR1CL1	1.397
AKR1D1	2.034
AKR1D1P1	1.244
AKR1E2	2.701
AKR7A2	0.942
AKR7A2P1	
AKR7A3	0.996
AKR7L	1.243
AKT1	2.16
AKT1S1	1.86
AKT2	2.66
AKT3	2.327
AKT3-IT1	1.269
AKTIP	2.529
AL008708.1	0.211
AL008721.1	2.08
AL008733.1	1.302
AL009050.1	2.197
AL009178.1	0.98
AL020993.1	0.638
AL020996.1	-0.3
AL021068.1	1.796
AL021394.1	1.975
AL021398.1	-1.156
AL021546.6	3.804
AL021707.1	
AL021707.2	
AL021977.1	
AL022237.3	1.43
AL022328.1	-0.101
AL022341.1	0.414
AL022341.3	-0.521
AL022344.7	2.004
AL022345.7	2.22
AL022393.7	0.879
AL022400.1	
AL022476.2	2.676
AL023583.1	0.627
AL023807.1	
AL031055.1	2.164
AL031176.1	1.41
AL031320.1	1.547
AL031390.1	4.083
AL031590.1	1.767
AL031601.1	
AL031602.1	1.207
AL031653.1	2.81
AL031655.1	
AL031663.1	4.348
AL031663.2	4.1
AL031666.2	1.921
AL031721.1	-0.623
AL031768.1	
AL033381.1	5.435
AL033528.1	1.985
AL034400.1	0.887
AL034449.1	2.901
AL034548.1	0.817
AL035045.1	2.014
AL035106.1	
AL035250.1	6.224
AL035252.1	1.222
AL035406.1	
AL035457.1	5.943
AL035460.1	
AL035467.1	1.823
AL035588.1	0.387
AL035610.1	3.775
AL035610.2	2.529
AL035681.1	0.356
AL049539.1	
AL049542.1	-0.445
AL049610.1	
AL049747.1	1.472
AL049758.2	-0.951
AL049798.1	1.501
AL049829.1	-0.3
AL049831.1	1.498
AL049840.1	0.593
AL049871.1	1.368
AL050302.1	
AL050303.1	1.928
AL050316.1	-0.282
AL050335.1	1.899
AL078585.1	2.547
AL079339.1	3.383
AL079342.1	1.886
AL080243.1	1.523
AL080272.1	3.18
AL080274.1	0.323
AL080276.1	
AL096677.1	0.917
AL096700.1	2.559
AL096869.1	
AL109618.1	1.617
AL109658.1	0.312
AL109749.1	3.992
AL109750.1	2.012
AL109754.1	1.041
AL109761.5	2.087
AL109763.1	2.691
AL109763.2	3.529
AL109767.1	0.644
AL109805.1	
AL109806.1	-1.371
AL109922.2	0.746
AL109927.1	
AL109947.2	
AL110292.1	0.073
AL117190.2	
AL117190.3	1.239
AL117380.1	3.149
AL117380.2	2.392
AL118506.1	
AL118508.1	-0.231
AL118509.1	
AL118525.1	2.686
AL121578.2	1.622
AL121578.5	0.346
AL121578.7	-0.774
AL121584.1	
AL121588.1	2.768
AL121652.2	1.272
AL121652.3	0.336
AL121656.5	1.381
AL121657.4	1.553
AL121748.1	2.305
AL121761.1	2.132
AL121761.2	1.742
AL121819.1	2.325
AL121865.1	
AL121875.1	1.745
AL121895.1	1.319
AL121898.1	1.824
AL121901.1	0.636
AL121914.1	3.549
AL121931.1	6.467
AL121932.1	1.091
AL121952.1	
AL121963.1	
AL121987.1	0.775
AL121988.1	-0.498
AL132671.1	
AL132709.1	2.602
AL132709.2	0.903
AL132709.3	
AL132709.5	1.298
AL132709.8	1.287
AL132768.1	0.686
AL132796.1	3.695
AL132819.1	1.854
AL132868.1	
AL132875.1	1.574
AL132989.1	0.789
AL133167.1	2.953
AL133168.3	0.91
AL133228.1	
AL133232.1	4.067
AL133244.1	1.897
AL133245.2	1.895
AL133247.2	1.992
AL133247.3	3.038
AL133249.1	1.406
AL133262.1	1.263
AL133269.1	2.311
AL133318.1	5.221
AL133373.1	1.983
AL133376.1	
AL133458.1	2.156
AL133481.1	1.369
AL133493.2	1.958
AL135784.1	1.164
AL135791.1	
AL135901.1	1.87
AL135998.1	0.984
AL136001.1	
AL136090.1	2.375
AL136115.1	
AL136123.1	1.907
AL136137.1	2.556
AL136160.1	1.863
AL136218.1	2.357
AL136302.1	2.11
